personnel_id,week,attendance_score,activity_level,performance_score,social_withdrawal,behavioral_change
P0023,2,85.2,83.6,93.3,2.9,3.9
P0023,3,89.9,86.4,86.0,1.0,1.7
P0023,4,86.6,82.4,79.9,6.0,4.3
P0023,5,98.6,73.6,72.4,4.1,4.5
P0023,6,99.0,80.8,74.2,2.6,5.8
P0023,7,86.0,92.9,84.7,1.5,1.8
P0023,8,92.5,86.6,70.4,2.7,1.1
P0023,9,92.2,97.2,94.0,3.9,3.4
P0023,10,91.8,88.4,90.2,2.6,4.2
P0023,11,91.8,100.0,91.3,5.1,1.7
P0023,12,81.8,100.0,81.7,3.9,2.6
P0024,1,88.7,74.9,94.1,2.3,3.6
P0024,2,87.7,77.8,79.1,4.5,4.3
P0024,3,88.4,77.8,65.5,2.2,2.6
P0024,4,90.2,86.6,98.6,3.2,3.7
P0024,5,85.8,74.5,70.4,3.1,2.2
P0024,6,88.2,88.8,82.3,2.6,2.4
P0024,7,92.7,77.4,72.0,4.7,4.5
P0024,8,85.0,77.4,86.0,5.4,4.0
P0024,9,76.5,85.7,83.7,2.8,4.1
P0024,10,93.6,88.5,68.8,3.6,2.3
P0024,11,89.6,80.8,68.9,1.5,4.3
P0024,12,96.0,82.8,71.7,5.6,4.2
P0025,1,84.9,95.7,74.8,5.8,1.8
P0025,2,92.8,99.4,69.5,3.6,2.4
P0025,3,88.2,100.0,69.1,4.6,1.0
P0025,4,86.4,67.6,85.7,6.7,6.6
P0025,5,89.3,92.2,77.6,2.2,1.0
P0025,6,90.1,97.2,87.7,5.4,1.0
P0025,7,82.4,86.2,69.5,4.9,2.4
P0025,8,93.2,98.9,82.6,6.0,2.5
P0025,9,90.3,99.3,82.2,5.6,1.0
P0025,10,85.2,91.5,65.5,3.0,1.0
P0025,11,90.3,91.0,67.8,4.2,1.6
P0025,12,89.5,99.5,93.2,4.7,1.5
P0026,1,80.7,76.1,69.4,3.7,5.2
P0026,2,89.8,97.1,71.9,1.0,2.3
P0026,3,86.7,74.2,70.5,2.0,4.1
P0026,4,100.0,85.3,80.2,4.3,2.4
P0026,5,93.7,83.5,79.9,3.4,4.4
P0026,6,91.6,74.7,79.8,4.7,4.3
P0026,7,87.3,69.2,67.6,2.2,4.0
P0026,8,92.4,79.9,75.3,3.0,5.1
P0026,9,94.8,67.9,62.3,3.0,4.1
P0026,10,84.0,83.4,81.3,3.9,4.1
P0026,11,96.2,65.6,78.4,1.0,4.2
P0026,12,88.4,85.8,74.3,6.8,2.8
P0027,1,96.4,71.5,73.5,2.8,4.9
P0027,2,88.8,71.1,82.1,2.8,5.7
P0027,3,95.8,77.0,80.5,1.3,3.2
P0027,4,96.3,72.4,91.0,5.3,5.9
P0027,5,92.5,76.1,86.7,4.9,4.4
P0027,6,92.0,74.9,78.6,2.9,5.5
P0027,7,80.6,63.8,77.5,4.6,5.6
P0027,8,85.0,73.9,85.9,5.0,3.4
P0027,9,89.7,70.6,82.9,4.6,3.8
P0027,10,84.0,76.4,94.8,4.9,4.3
P0027,11,95.8,71.7,68.3,6.5,4.2
P0027,12,92.2,69.4,76.5,3.4,3.7
P0028,1,82.1,90.2,74.6,2.3,2.2
P0028,2,97.6,71.7,84.8,3.4,1.9
P0028,3,95.3,77.1,63.7,4.3,3.8
P0028,4,98.2,68.8,80.2,5.0,3.3
P0028,5,100.0,77.5,87.1,2.5,4.5
P0028,6,99.3,76.3,75.3,5.7,5.3
P0028,7,80.1,73.5,95.6,1.8,5.8
P0028,8,94.2,78.7,83.8,2.4,1.9
P0028,9,100.0,79.7,75.1,6.0,4.3
P0028,10,87.8,74.9,92.6,3.8,4.8
P0028,11,89.0,85.5,67.2,2.0,2.3
P0028,12,96.6,71.2,86.2,5.4,3.4
P0029,1,90.6,76.6,100.0,5.1,2.7
P0029,2,92.0,64.7,79.3,4.2,5.4
P0029,3,81.3,84.0,75.9,5.8,2.8
P0029,4,91.8,71.0,84.5,4.3,4.0
P0029,5,100.0,77.7,67.1,3.0,3.3
P0029,6,85.2,82.0,78.4,4.0,3.3
P0029,7,86.9,70.8,93.0,4.9,6.0
P0029,8,81.1,67.1,83.3,2.5,3.9
P0029,9,88.1,78.0,95.7,3.5,4.9
P0029,10,85.2,63.4,83.1,4.4,5.2
P0029,11,88.0,62.2,85.8,5.8,5.3
P0029,12,93.9,52.8,89.0,4.0,5.9
P0030,1,89.7,82.2,86.0,3.5,3.3
P0030,2,81.8,86.7,82.0,4.4,1.9
P0030,3,85.7,72.2,90.7,3.5,4.5
P0030,4,82.0,85.8,87.2,3.4,3.1
P0030,5,85.3,83.4,87.2,1.6,2.6
P0030,6,85.0,83.9,97.4,6.9,2.7
P0030,7,83.2,81.2,76.4,2.6,2.8
P0030,8,82.8,84.8,72.4,1.2,2.6
P0030,9,82.8,62.6,100.0,3.0,5.0
P0030,10,93.3,66.3,71.1,2.4,3.8
P0030,11,78.3,71.6,93.1,2.5,3.9
P0030,12,93.2,97.4,78.4,2.1,1.7
P0031,1,88.3,58.5,90.9,4.3,5.3
P0031,2,95.3,85.8,66.8,6.0,4.7
P0031,3,83.3,82.0,88.4,2.7,2.8
P0031,4,94.5,74.1,82.9,3.5,2.5
P0031,5,91.2,52.3,79.8,3.9,8.3
P0031,6,99.5,75.7,89.3,2.0,4.8
P0031,7,83.2,76.8,84.7,5.9,2.7
P0031,8,85.5,52.5,82.4,2.5,6.9
P0031,9,100.0,63.1,94.7,5.9,4.3
P0031,10,95.2,71.3,80.6,2.5,3.0
P0031,11,92.6,73.2,67.2,4.1,2.9
P0031,12,88.2,75.0,74.8,2.8,2.4
P0032,1,79.8,68.7,80.2,2.1,3.8
P0032,2,88.8,69.7,74.0,2.1,4.5
P0032,3,89.6,71.9,84.6,3.2,4.9
P0032,4,87.0,81.8,86.0,3.7,3.6
P0032,5,97.9,85.6,78.4,3.6,4.1
P0032,6,75.4,74.3,80.6,5.3,3.6
P0032,7,83.8,87.2,81.3,4.9,2.3
P0032,8,96.0,81.7,67.0,4.5,2.9
P0032,9,82.4,94.5,52.8,4.8,4.0
P0032,10,87.9,81.8,80.3,4.5,3.9
P0032,11,92.6,76.9,61.4,3.5,4.0
P0032,12,90.5,79.7,73.6,2.7,5.2
P0033,1,86.2,100.0,57.6,3.3,1.7
P0033,2,100.0,90.3,75.1,1.0,2.4
P0033,3,99.1,100.0,87.6,3.9,1.4
P0033,4,98.4,94.7,82.2,2.4,1.0
P0033,5,95.2,87.5,83.8,2.3,2.7
P0033,6,88.4,99.5,82.2,4.0,3.4
P0033,7,96.5,90.2,92.7,3.7,2.4
P0033,8,90.4,81.1,100.0,4.1,4.2
P0033,9,77.1,100.0,84.3,3.3,1.7
P0033,10,84.7,88.4,88.0,1.9,2.4
P0033,11,87.0,80.2,96.5,4.1,3.3
P0033,12,86.1,92.3,64.2,3.5,1.6
P0034,1,89.2,100.0,85.9,1.4,1.0
P0034,2,97.6,94.4,70.7,1.0,4.7
P0034,3,93.9,100.0,84.7,4.0,1.0
P0034,4,95.0,92.7,82.7,3.6,2.4
P0034,5,92.2,88.8,94.2,1.4,3.8
P0034,6,100.0,100.0,83.3,2.6,1.0
P0034,7,98.7,100.0,65.3,2.3,2.0
P0034,8,92.2,93.9,87.4,6.6,1.1
P0034,9,84.4,100.0,82.4,1.3,2.4
P0034,10,94.0,98.1,76.5,4.5,3.7
P0034,11,93.2,100.0,80.2,3.8,1.0
P0034,12,97.6,100.0,70.8,2.2,2.4
P0035,1,90.0,82.0,80.1,5.2,3.4
P0035,2,94.7,81.2,93.8,3.2,4.2
P0035,3,80.1,77.7,72.0,3.2,3.9
P0035,4,84.5,85.6,60.9,1.1,3.2
P0035,5,100.0,73.0,95.6,2.3,4.2
P0035,6,80.5,80.7,78.2,4.7,3.9
P0035,7,100.0,84.7,82.2,3.5,3.4
P0035,8,92.2,88.4,71.4,6.8,1.3
P0035,9,95.3,83.3,92.4,3.9,2.7
P0035,10,96.8,98.6,83.8,3.3,1.0
P0035,11,87.1,80.4,75.5,4.7,2.4
P0035,12,93.2,93.8,55.0,1.0,1.4
P0036,1,95.7,86.2,72.1,3.0,2.7
P0036,2,93.2,85.0,73.3,4.2,2.1
P0036,3,91.1,98.9,83.1,3.8,1.3
P0036,4,92.8,87.5,73.1,2.4,3.2
P0036,5,95.9,90.0,70.2,2.9,1.8
P0036,6,89.0,97.9,84.4,1.0,1.2
P0036,7,98.1,100.0,92.0,3.3,1.0
P0036,8,91.6,100.0,76.6,3.9,1.6
P0036,9,87.6,97.4,100.0,2.9,2.2
P0036,10,100.0,86.4,74.8,2.8,3.0
P0036,11,84.5,94.9,68.3,6.1,3.0
P0036,12,88.1,92.3,86.9,3.4,4.8
P0037,1,88.3,86.1,73.0,4.2,2.9
P0037,2,88.2,85.1,75.5,1.6,3.4
P0037,3,85.5,90.3,87.9,4.0,2.4
P0037,4,84.3,89.2,83.4,3.0,4.1
P0037,5,89.0,100.0,73.2,2.7,2.1
P0037,6,93.5,100.0,74.8,2.7,2.5
P0037,7,93.0,82.7,86.4,2.1,2.4
P0037,8,80.0,78.4,73.5,5.4,2.4
P0037,9,79.3,100.0,85.1,3.4,1.8
P0037,10,87.6,88.8,71.0,1.9,2.1
P0037,11,96.1,86.8,70.0,4.0,1.4
P0037,12,100.0,91.0,84.9,4.6,3.3
P0038,1,99.3,96.8,89.3,2.4,3.1
P0038,2,85.7,82.5,67.5,5.0,1.6
P0038,3,89.1,79.8,92.9,3.8,3.5
P0038,4,98.8,83.9,83.1,4.3,4.2
P0038,5,83.6,91.8,76.8,4.4,1.8
P0038,6,86.3,91.2,59.8,3.1,1.2
P0038,7,94.4,83.5,90.0,4.7,2.9
P0038,8,87.1,96.6,72.4,4.4,1.0
P0038,9,86.4,90.6,78.8,2.9,1.1
P0038,10,88.8,92.9,67.6,3.9,1.9
P0038,11,87.6,93.4,96.4,4.4,4.0
P0038,12,84.9,96.7,82.6,3.3,1.0
P0039,1,92.0,58.5,71.0,5.0,4.5
P0039,2,85.6,77.1,71.1,4.4,5.8
P0039,3,89.5,84.0,72.8,2.3,3.8
P0039,4,95.6,87.8,71.9,4.7,3.2
P0039,5,98.4,80.4,67.1,5.8,3.2
P0039,6,96.9,75.1,72.3,3.8,3.6
P0039,7,99.8,94.6,75.7,3.9,2.0
P0039,8,83.3,86.1,81.0,2.5,3.2
P0039,9,96.9,73.3,98.4,5.0,3.6
P0039,10,87.8,57.0,81.9,4.3,5.0
P0039,11,83.6,78.9,70.1,2.5,2.8
P0039,12,95.6,70.1,86.8,4.1,4.5
P0040,1,98.5,84.8,72.5,3.2,2.5
P0040,2,77.2,85.6,77.2,2.3,4.6
P0040,3,90.2,80.5,68.9,3.3,2.8
P0040,4,97.2,76.6,82.4,4.6,5.0
P0040,5,86.6,81.6,58.6,2.8,3.4
P0040,6,89.1,77.1,76.0,1.0,3.4
P0040,7,88.6,74.6,73.2,4.2,4.6
P0040,8,91.7,91.2,64.4,2.3,1.2
P0040,9,85.3,84.5,100.0,4.0,5.0
P0040,10,81.2,74.4,85.5,5.7,2.9
P0040,11,86.4,77.0,83.1,1.7,2.2
P0040,12,90.2,80.1,76.3,1.0,4.0
P0041,1,89.0,78.7,83.9,5.2,4.1
P0041,2,84.2,76.8,64.2,6.2,4.7
P0041,3,76.3,72.3,97.1,1.0,3.5
P0041,4,88.3,94.3,70.1,5.5,1.0
P0041,5,86.6,83.5,73.5,3.1,1.2
P0041,6,76.4,92.0,78.3,2.5,2.7
P0041,7,94.9,79.4,72.1,6.0,3.7
P0041,8,88.2,95.5,77.3,1.0,4.2
P0041,9,82.3,86.6,88.4,4.3,3.5
P0041,10,90.3,87.7,78.8,4.0,3.1
P0041,11,83.8,95.3,77.2,3.8,2.8
P0041,12,86.7,81.0,79.0,4.8,4.0
P0042,1,84.2,76.3,80.2,4.3,3.3
P0042,2,90.5,75.8,88.1,3.5,1.7
P0042,3,89.3,71.4,71.1,2.7,6.0
P0042,4,95.9,73.8,62.3,5.2,2.0
P0042,5,85.8,73.7,97.3,4.7,2.5
P0042,6,88.9,76.6,76.4,3.4,2.4
P0042,7,98.7,56.9,86.8,5.3,5.3
P0042,8,91.0,56.0,80.5,3.8,4.5
P0042,9,94.2,73.0,65.7,3.5,3.4
P0042,10,88.5,67.8,90.4,3.1,4.2
P0042,11,89.2,82.4,81.3,4.5,3.2
P0042,12,89.6,76.6,70.5,4.5,4.7
P0043,1,86.0,73.8,76.9,5.0,5.6
P0043,2,92.3,91.8,72.1,4.5,2.1
P0043,3,88.1,79.7,80.8,2.9,3.2
P0043,4,83.1,93.9,79.3,1.4,2.7
P0043,5,91.6,95.1,71.9,3.3,1.0
P0043,6,86.9,90.0,85.9,4.1,3.3
P0043,7,93.3,82.6,80.0,2.9,2.8
P0043,8,94.0,78.6,84.2,1.0,2.8
P0043,9,94.3,98.5,68.6,5.0,1.4
P0043,10,90.1,88.7,75.1,4.1,2.3
P0043,11,74.8,81.6,83.8,2.8,4.6
P0043,12,86.7,100.0,44.1,4.0,4.0
P0044,1,86.6,71.3,75.0,2.3,3.3
P0044,2,91.5,87.4,84.7,3.9,3.2
P0044,3,88.5,82.6,72.2,1.6,2.4
P0044,4,86.9,79.2,86.0,3.7,2.9
P0044,5,84.0,100.0,69.5,3.7,1.0
P0044,6,91.7,82.7,82.9,1.8,3.0
P0044,7,86.7,95.1,73.8,5.1,1.9
P0044,8,83.6,85.3,87.0,4.1,3.7
P0044,9,93.6,83.1,97.4,2.2,2.6
P0044,10,86.3,92.4,86.7,1.0,3.7
P0044,11,88.0,91.7,79.9,1.5,1.4
P0044,12,91.9,83.4,83.8,5.3,6.1
P0045,1,88.3,81.6,72.0,3.4,2.5
P0045,2,88.2,92.1,78.2,3.8,1.5
P0045,3,92.9,73.6,94.8,4.9,3.7
P0045,4,89.7,86.0,78.5,3.0,1.3
P0045,5,98.0,67.5,84.2,4.3,4.6
P0045,6,86.4,76.3,76.1,3.5,3.3
P0045,7,84.1,76.9,77.1,3.0,3.1
