personnel_id,week,sleep_hours,fatigue_score,stress_score,mood_score,emotional_exhaustion
P0004,9,5.5,5.5,3.8,4.6,3.2
P0004,10,6.2,4.5,3.9,6.3,4.3
P0004,11,6.9,4.6,4.0,5.6,4.4
P0004,12,6.9,4.0,3.6,6.9,3.8
P0005,1,6.8,3.9,3.9,6.3,3.6
P0005,2,6.7,3.8,3.4,6.2,3.2
P0005,3,8.0,1.0,1.8,7.5,1.0
P0005,4,7.2,2.0,2.1,7.7,2.2
P0005,5,7.3,2.4,5.7,5.2,5.3
P0005,6,6.6,2.2,1.0,7.9,1.0
P0005,7,6.8,1.2,2.2,8.5,1.4
P0005,8,7.1,2.4,2.7,7.0,2.8
P0005,9,5.8,2.7,1.2,7.6,2.0
P0005,10,6.5,1.9,3.8,5.2,3.7
P0005,11,6.9,2.3,3.3,7.4,3.8
P0005,12,5.3,4.7,4.7,5.9,4.4
P0006,1,6.0,6.0,7.0,6.7,6.2
P0006,2,6.7,3.6,5.4,6.7,4.1
P0006,3,6.8,3.4,3.8,6.2,3.5
P0006,4,7.3,3.0,5.3,5.0,5.2
P0006,5,5.9,4.9,5.5,5.9,6.2
P0006,6,7.6,4.1,5.1,6.6,5.9
P0006,7,8.2,3.4,5.3,6.0,4.6
P0006,8,7.3,3.4,2.7,5.8,3.3
P0006,9,7.3,3.3,6.9,5.3,7.3
P0006,10,6.0,4.7,4.4,7.6,5.4
P0006,11,6.6,2.3,6.4,5.2,5.8
P0006,12,5.6,5.1,4.0,6.1,4.4
P0007,1,6.5,4.9,5.5,5.6,6.8
P0007,2,7.2,5.1,4.2,5.2,4.1
P0007,3,7.2,6.0,7.1,5.0,7.3
P0007,4,7.6,5.9,5.0,6.7,5.4
P0007,5,6.8,5.3,6.0,5.6,6.6
P0007,6,6.8,7.1,3.2,5.5,4.8
P0007,7,8.0,6.1,6.5,5.4,6.8
P0007,8,6.8,4.8,5.0,7.3,3.5
P0007,9,6.9,5.0,7.5,5.7,6.3
P0007,10,7.6,4.5,5.9,5.7,5.5
P0007,11,7.8,4.1,4.1,7.1,4.2
P0007,12,7.9,6.0,4.7,7.4,4.7
P0008,1,8.4,5.2,5.5,5.5,4.8
P0008,2,7.3,5.9,9.8,2.4,10.0
P0008,3,6.9,7.0,5.4,4.5,7.3
P0008,4,7.2,5.5,6.6,2.1,5.6
P0008,5,6.5,6.4,8.1,4.5,7.9
P0008,6,7.1,6.2,7.2,4.6,7.5
P0008,7,6.3,5.5,6.3,3.7,5.7
P0008,8,7.6,5.9,4.9,5.9,4.9
P0008,9,6.9,5.4,6.6,3.8,6.6
P0008,10,6.4,5.7,6.9,3.7,7.5
P0008,11,7.6,5.5,6.8,3.6,5.3
P0008,12,7.8,3.4,7.2,5.7,5.8
P0009,1,7.4,5.7,5.8,4.8,4.9
P0009,2,6.9,6.5,6.5,4.0,5.5
P0009,3,5.9,7.9,6.8,5.1,7.2
P0009,4,6.4,6.4,6.3,5.4,5.7
P0009,5,6.1,7.7,10.0,3.7,10.0
P0009,6,7.6,6.1,7.1,5.0,4.6
P0009,7,8.6,4.9,6.2,4.1,5.7
P0009,8,6.9,6.8,7.1,4.9,7.5
P0009,9,7.8,6.7,5.0,5.0,3.6
P0009,10,9.0,3.5,6.5,4.0,5.3
P0009,11,7.4,6.0,7.0,4.0,6.1
P0009,12,6.3,6.6,5.2,5.0,5.6
P0010,1,6.3,5.8,2.0,7.1,4.1
P0010,2,6.5,5.2,7.6,5.5,8.7
P0010,3,6.8,3.6,5.1,5.7,6.0
P0010,4,6.6,4.3,6.4,3.8,4.6
P0010,5,7.1,6.2,8.1,6.1,6.3
P0010,6,8.2,4.6,7.6,4.4,6.2
P0010,7,8.2,4.4,8.2,4.1,6.3
P0010,8,7.2,4.2,2.6,7.0,3.0
P0010,9,7.5,4.4,7.8,4.3,8.1
P0010,10,7.4,4.4,1.0,8.8,1.6
P0010,11,6.3,3.5,2.8,7.4,3.2
P0010,12,6.8,4.8,5.4,4.7,4.9
P0011,1,6.9,3.7,5.6,5.3,3.6
P0011,2,7.6,4.0,3.5,5.8,4.0
P0011,3,6.9,1.2,2.8,5.3,3.3
P0011,4,7.7,3.4,5.2,5.8,4.8
P0011,5,7.7,1.0,4.6,5.3,1.0
P0011,6,7.6,1.0,4.1,6.5,3.5
P0011,7,6.4,3.1,3.4,5.6,3.5
P0011,8,6.8,3.5,4.9,5.5,4.1
P0011,9,6.4,3.3,3.8,5.4,3.5
P0011,10,7.1,3.6,2.8,8.5,4.2
P0011,11,7.9,2.1,2.7,6.7,3.6
P0011,12,7.8,3.0,1.9,7.6,2.9
P0012,1,7.8,2.3,3.0,6.2,2.7
P0012,2,7.8,3.1,3.6,5.9,2.9
P0012,3,6.7,2.4,1.0,7.8,2.0
P0012,4,6.9,3.2,3.3,7.5,3.2
P0012,5,6.6,3.8,4.5,6.7,4.1
P0012,6,8.2,1.8,5.0,4.3,5.8
P0012,7,6.9,1.7,2.1,7.5,2.6
P0012,8,7.9,1.6,4.0,7.0,3.1
P0012,9,7.8,1.0,1.0,7.5,1.2
P0012,10,6.2,3.6,4.3,6.6,5.3
P0012,11,7.7,2.3,1.6,4.4,1.0
P0012,12,5.8,5.4,1.0,8.7,2.6
P0013,1,7.2,2.1,3.0,6.5,1.7
P0013,2,7.2,3.7,4.1,7.0,4.3
P0013,3,8.4,1.8,4.6,7.7,4.2
P0013,4,8.2,2.4,2.2,5.7,1.0
P0013,5,6.6,3.7,5.1,5.0,5.4
P0013,6,6.7,3.0,4.1,7.2,3.8
P0013,7,7.0,1.2,4.3,6.1,4.1
P0013,8,5.5,3.4,2.5,5.8,3.0
P0013,9,7.1,2.7,5.0,4.6,3.1
P0013,10,5.0,3.4,5.2,5.7,4.4
P0013,11,7.2,3.4,1.8,7.5,3.0
P0013,12,6.5,4.7,4.7,7.0,4.0
P0014,1,7.7,3.8,5.1,5.1,2.9
P0014,2,6.4,5.5,6.4,4.0,5.7
P0014,3,7.5,3.4,5.4,6.1,4.3
P0014,4,6.5,5.3,6.4,4.7,7.1
P0014,5,6.6,6.7,5.4,5.7,4.3
P0014,6,9.0,2.0,7.8,4.1,5.3
P0014,7,7.4,4.9,2.7,7.9,3.4
P0014,8,6.9,4.9,5.5,6.2,3.9
P0014,9,8.1,3.4,6.6,5.3,6.2
P0014,10,6.2,5.9,6.6,3.6,6.3
P0014,11,8.9,1.5,7.6,5.7,4.4
P0014,12,8.2,4.2,4.8,4.2,6.2
P0015,1,6.9,4.8,5.6,6.1,5.9
P0015,2,6.6,4.9,5.4,6.1,4.8
P0015,3,5.6,10.0,8.8,2.6,8.7
P0015,4,8.3,3.5,8.0,3.8,5.6
P0015,5,7.1,5.2,4.4,6.7,4.7
P0015,6,7.6,7.0,4.9,6.2,4.4
P0015,7,8.6,4.0,7.4,3.8,6.3
P0015,8,5.6,6.6,7.3,4.4,6.7
P0015,9,7.8,6.3,7.3,3.9,6.5
P0015,10,7.6,4.9,8.0,7.0,5.1
P0015,11,6.3,6.6,7.3,5.6,6.9
P0015,12,7.3,5.8,4.2,7.0,5.2
P0016,1,5.7,4.8,4.4,6.6,3.9
P0016,2,7.8,2.0,6.7,5.1,5.4
P0016,3,6.8,4.3,2.7,7.1,4.0
P0016,4,6.6,5.5,2.3,6.8,2.4
P0016,5,6.1,4.3,5.7,3.2,6.0
P0016,6,6.4,2.0,5.1,6.1,3.4
P0016,7,6.8,3.8,2.7,6.1,3.5
P0016,8,7.1,3.2,7.2,4.1,5.6
P0016,9,7.3,3.6,4.9,6.3,2.5
P0016,10,7.8,2.0,2.8,8.1,2.6
P0016,11,7.6,3.4,3.7,6.7,4.1
P0016,12,7.6,3.1,5.0,6.1,3.9
P0017,1,6.8,5.0,6.7,5.8,5.1
P0017,2,8.3,5.0,5.1,6.7,5.3
P0017,3,7.1,6.6,8.3,6.1,7.3
P0017,4,8.3,4.2,5.2,7.1,5.0
P0017,5,6.4,6.3,5.6,7.2,6.1
P0017,6,5.8,7.4,7.5,5.1,8.3
P0017,7,5.3,8.5,7.8,3.9,8.2
P0017,8,8.2,4.2,6.7,5.4,6.9
P0017,9,6.2,7.2,6.1,4.4,6.0
P0017,10,7.7,5.7,6.2,6.9,6.2
P0017,11,8.3,5.9,7.6,4.3,7.5
P0017,12,8.8,1.7,5.7,7.0,3.9
P0018,1,7.8,2.2,5.1,5.8,4.4
P0018,2,7.0,3.7,4.7,5.9,3.9
P0018,3,7.2,2.7,5.1,5.6,3.6
P0018,4,6.6,5.1,5.8,3.5,6.5
P0018,5,7.7,4.5,3.4,7.0,2.7
P0018,6,7.1,4.7,5.0,6.5,5.2
P0018,7,7.9,5.1,4.9,6.6,4.0
P0018,8,7.4,5.0,5.1,6.0,4.2
P0018,9,6.9,3.4,4.2,5.9,3.8
P0018,10,6.2,5.8,5.4,6.5,5.2
P0018,11,6.9,2.4,7.7,4.8,6.8
P0018,12,7.4,5.6,5.8,3.1,4.0
P0019,1,7.6,5.4,6.7,6.8,6.0
P0019,2,6.9,5.8,5.3,6.4,5.7
P0019,3,5.9,6.3,7.5,4.2,8.6
P0019,4,8.1,3.0,5.9,4.9,5.1
P0019,5,6.5,5.8,7.9,6.4,7.2
P0019,6,6.1,6.2,7.5,5.2,6.4
P0019,7,6.2,7.1,7.0,4.6,5.3
P0019,8,7.1,4.8,7.0,6.4,6.0
P0019,9,5.1,6.9,8.4,5.2,7.3
P0019,10,6.7,5.3,2.8,6.0,3.2
P0019,11,7.2,5.0,4.2,6.5,5.7
P0019,12,6.3,6.5,4.2,5.4,4.9
P0020,1,6.3,4.8,2.3,6.8,2.4
P0020,2,8.5,1.0,5.2,5.9,4.2
P0020,3,6.9,2.9,2.8,5.7,3.8
P0020,4,7.4,2.4,3.7,7.3,4.6
P0020,5,7.0,3.5,1.0,6.4,1.0
P0020,6,7.6,2.2,4.6,6.7,4.0
P0020,7,6.3,4.1,1.9,7.1,3.1
P0020,8,7.8,1.0,3.4,5.6,1.9
P0020,9,6.9,2.9,4.2,6.1,4.5
P0020,10,7.3,3.4,4.8,6.4,4.4
P0020,11,6.5,2.7,2.1,7.0,3.3
P0020,12,6.2,2.7,2.5,8.1,4.1
P0021,1,7.9,4.0,6.1,3.9,4.8
P0021,2,7.5,5.3,7.8,6.4,7.4
P0021,3,6.2,6.3,9.3,2.8,8.5
P0021,4,7.4,7.2,7.4,4.5,5.8
P0021,5,7.3,5.1,6.7,4.6,6.7
P0021,6,8.8,4.7,7.1,5.0,5.9
P0021,7,6.1,5.7,5.3,4.5,4.0
P0021,8,6.5,5.5,5.9,4.0,6.6
P0021,9,7.2,7.4,7.7,4.8,7.7
P0021,10,7.3,3.9,6.7,4.9,5.7
P0021,11,7.2,6.2,3.9,3.8,4.6
P0021,12,6.5,5.5,6.3,5.8,6.1
P0022,1,6.9,2.6,1.9,8.0,2.1
P0022,2,6.7,4.2,5.8,5.4,7.0
P0022,3,7.8,3.1,3.7,6.6,2.6
P0022,4,6.0,4.6,6.4,4.5,4.0
P0022,5,6.5,3.8,1.0,6.5,2.9
P0022,6,6.5,4.1,3.8,5.4,2.8
P0022,7,6.3,3.8,2.7,6.5,3.4
P0022,8,6.3,3.6,3.8,6.7,3.0
P0022,9,7.9,1.3,1.5,9.2,1.0
P0022,10,6.4,2.9,4.2,6.3,3.7
P0022,11,6.3,1.2,7.6,3.0,6.5
P0022,12,6.5,3.3,1.8,7.3,3.0
P0023,1,8.1,1.5,5.1,4.6,3.6
P0023,2,6.0,4.3,2.8,5.5,3.9
P0023,3,7.6,2.9,4.7,5.7,3.6
P0023,4,7.8,2.6,1.0,6.1,1.9
P0023,5,7.4,1.7,3.0,7.9,4.0
P0023,6,7.1,4.1,4.8,5.2,4.5
P0023,7,7.5,3.9,1.0,8.5,2.4
P0023,8,7.1,4.5,4.7,6.7,4.3
P0023,9,8.2,1.0,6.3,5.4,4.8
P0023,10,6.6,4.3,4.0,5.7,4.1
P0023,11,6.9,4.5,4.9,7.4,4.5
P0023,12,7.6,3.1,2.8,4.8,3.0
P0024,1,6.7,4.4,2.5,7.3,3.1
P0024,2,7.1,4.8,7.1,5.1,5.1
P0024,3,6.6,5.2,5.9,5.1,7.0
P0024,4,7.2,5.4,4.3,5.1,4.9
P0024,5,6.8,3.5,5.7,5.1,4.5
P0024,6,7.2,3.3,1.0,7.5,2.6
P0024,7,7.1,4.6,4.8,5.8,4.7
P0024,8,7.5,3.7,4.9,4.7,4.2
P0024,9,6.7,4.2,4.3,7.9,3.9
P0024,10,6.6,5.7,4.1,6.2,5.3
P0024,11,6.1,5.8,4.1,7.1,3.6
P0024,12,6.5,5.1,4.3,5.0,4.6
P0025,1,7.2,4.4,4.9,6.2,4.0
P0025,2,7.8,5.3,4.3,6.4,3.9
P0025,3,6.7,5.9,2.9,8.1,3.7
P0025,4,5.9,6.5,3.9,5.2,6.9
P0025,5,6.9,5.3,2.6,7.1,3.8
P0025,6,5.9,5.7,2.0,6.7,4.0
P0025,7,7.1,2.0,5.0,5.7,4.1
P0025,8,5.6,6.1,5.6,3.9,5.5
P0025,9,6.3,5.3,2.3,8.1,4.8
P0025,10,7.0,6.9,5.0,6.8,6.5
P0025,11,7.7,4.8,2.3,5.8,2.9
P0025,12,6.3,5.8,5.0,7.1,4.5
P0026,1,6.9,4.5,4.8,8.1,4.9
P0026,2,5.2,8.0,5.0,5.3,5.8
P0026,3,7.8,3.6,7.2,4.2,6.6
P0026,4,8.4,3.7,3.5,6.6,3.7
P0026,5,6.5,6.8,6.1,7.1,6.7
P0026,6,6.3,4.5,4.9,5.8,5.5
P0026,7,7.7,6.0,4.8,4.3,6.5
P0026,8,5.6,6.7,6.7,6.3,6.6
P0026,9,7.0,5.5,5.4,5.1,6.0
P0026,10,7.3,5.6,5.1,5.8,5.0
P0026,11,7.4,3.2,5.1,6.3,4.1
P0026,12,8.2,4.7,8.0,4.6,7.6
P0027,1,7.8,4.4,3.6,7.7,3.1
P0027,2,6.8,4.4,7.2,3.3,6.0
P0027,3,7.2,6.3,3.7,4.4,3.8
P0027,4,6.5,5.0,3.9,6.8,4.8
P0027,5,7.3,2.8,7.3,2.7,6.5
P0027,6,6.2,4.0,3.0,8.1,1.9
P0027,7,6.9,3.9,6.3,5.3,5.7
P0027,8,7.0,4.6,3.7,5.9,5.6
P0027,9,6.1,4.9,3.7,7.1,3.8
P0027,10,6.5,4.7,6.5,5.8,5.6
P0027,11,7.3,3.3,3.6,4.9,2.5
P0027,12,6.9,5.4,3.2,8.0,5.1
P0028,1,7.1,4.3,4.1,6.0,3.6
P0028,2,8.5,2.0,3.3,6.9,3.4
P0028,3,7.1,3.3,8.8,3.4,6.0
P0028,4,7.6,4.4,8.7,3.9,5.8
P0028,5,7.5,4.9,4.9,5.7,5.6
P0028,6,5.9,5.9,3.3,5.8,4.2
P0028,7,7.0,3.7,4.7,5.2,3.1
P0028,8,8.1,4.5,6.4,6.0,5.3
P0028,9,7.5,3.4,1.3,9.5,2.2
P0028,10,6.8,3.4,3.3,7.4,2.7
P0028,11,7.1,4.3,4.8,7.9,5.1
P0028,12,8.3,3.3,5.6,5.1,5.6
P0029,1,6.0,5.1,2.7,5.1,2.6
P0029,2,6.7,2.9,4.9,6.6,4.7
P0029,3,7.8,2.5,4.1,5.3,3.1
P0029,4,7.6,2.7,3.9,7.9,2.8
P0029,5,7.4,5.5,3.7,7.4,3.6
P0029,6,7.4,4.7,6.4,5.8,6.0
P0029,7,6.9,4.7,5.1,5.2,4.3
P0029,8,6.1,4.4,3.9,7.8,4.1
P0029,9,7.4,3.1,7.4,5.2,5.2
P0029,10,6.4,5.5,3.1,6.9,5.0
P0029,11,8.6,4.8,3.0,6.2,3.4
P0029,12,8.6,3.1,1.1,7.4,2.1
P0030,1,8.5,3.0,9.6,4.1,6.6
P0030,2,5.4,8.0,8.6,3.7,8.8
P0030,3,8.6,5.7,5.9,4.3,5.5
P0030,4,7.8,7.3,8.2,3.3,7.5
P0030,5,6.3,8.8,8.9,5.3,8.6
P0030,6,7.6,3.4,6.0,4.7,4.7
P0030,7,6.9,7.1,6.1,6.1,4.7
P0030,8,7.4,7.4,7.4,4.0,6.4
P0030,9,7.8,6.3,6.4,4.8,6.4
P0030,10,6.3,7.6,9.9,3.5,9.2
P0030,11,7.7,6.6,7.9,3.4,6.0
P0030,12,7.0,5.7,9.5,3.8,7.4
P0031,1,7.8,5.1,4.4,4.3,4.8
P0031,2,7.2,4.7,5.7,4.9,4.0
P0031,3,6.4,6.2,5.7,4.5,7.0
P0031,4,6.9,5.8,4.8,6.8,5.8
P0031,5,7.0,5.6,6.7,4.9,5.3
P0031,6,7.5,4.6,6.8,5.4,6.4
P0031,7,7.9,4.3,7.3,4.0,6.7
P0031,8,7.0,4.6,6.6,5.9,5.7
P0031,9,7.2,5.9,4.6,7.0,5.2
P0031,10,7.9,6.3,7.1,5.5,7.0
P0031,11,7.1,5.0,4.9,4.7,4.0
P0031,12,8.1,5.2,4.3,6.0,5.1
P0032,1,7.2,4.8,4.0,7.2,4.5
P0032,2,7.8,4.6,5.2,6.9,5.1
P0032,3,8.8,3.8,3.8,7.5,4.0
P0032,4,7.4,3.3,5.5,7.0,3.8
P0032,5,6.8,5.9,6.5,5.4,7.1
P0032,6,6.5,7.4,6.0,6.4,7.7
P0032,7,6.5,6.0,5.0,7.7,5.0
P0032,8,7.4,3.4,7.7,3.8,6.7
P0032,9,6.6,6.1,5.9,6.4,5.0
P0032,10,7.7,1.8,6.4,5.5,4.3
P0032,11,6.6,5.4,1.8,7.0,3.2
P0032,12,6.1,6.3,3.5,8.1,5.0
P0033,1,7.6,5.6,6.1,3.9,7.1
P0033,2,7.5,5.0,6.7,3.3,6.1
P0033,3,7.1,6.1,7.2,5.5,7.8
P0033,4,7.3,6.4,6.8,4.8,7.2
P0033,5,6.6,6.3,8.6,4.5,7.3
P0033,6,5.5,7.5,4.8,6.6,6.9
P0033,7,8.0,4.9,5.1,7.2,5.4
P0033,8,6.7,8.1,8.2,4.2,7.7
P0033,9,6.3,6.8,6.7,4.0,6.1
P0033,10,7.8,7.2,10.0,4.2,9.4
P0033,11,8.0,4.3,9.5,2.6,6.7
P0033,12,7.0,7.0,7.6,4.0,8.2
P0034,1,6.0,3.5,3.8,5.8,3.1
P0034,2,5.7,2.4,4.1,5.6,3.4
P0034,3,6.2,4.5,3.4,4.2,3.6
P0034,4,6.6,2.5,2.6,8.0,3.8
P0034,5,7.8,1.0,1.7,7.3,1.4
P0034,6,7.7,1.6,1.6,7.2,1.7
P0034,7,7.3,2.0,1.8,6.0,1.0
P0034,8,6.4,4.5,1.0,6.7,3.1
P0034,9,6.2,3.9,3.1,6.3,3.6
P0034,10,7.4,1.5,2.8,7.4,2.0
P0034,11,6.3,3.6,3.1,6.5,2.6
P0034,12,7.5,1.0,2.1,7.1,1.4
P0035,1,8.3,1.4,5.2,5.3,3.1
P0035,2,7.1,2.5,4.6,8.1,3.6
P0035,3,5.3,4.6,3.2,6.6,3.4
P0035,4,6.1,2.1,6.3,4.0,6.3
P0035,5,7.6,1.7,5.2,3.9,2.7
P0035,6,6.6,2.0,1.0,8.4,1.4
P0035,7,5.9,3.0,2.1,7.7,3.7
P0035,8,7.5,1.9,4.0,6.1,3.8
P0035,9,8.6,1.3,3.8,4.0,3.3
P0035,10,6.2,3.8,4.2,5.5,4.3
P0035,11,8.8,1.0,2.8,6.6,2.6
P0035,12,6.8,4.7,4.6,6.1,4.1
P0036,1,7.6,4.3,4.6,6.9,4.9
P0036,2,7.4,4.1,5.4,6.0,3.6
P0036,3,8.2,2.0,4.5,6.8,4.1
P0036,4,6.1,6.4,7.6,3.9,6.7
P0036,5,7.1,5.1,5.9,5.7,6.8
P0036,6,6.9,3.7,8.9,5.2,5.6
P0036,7,7.7,5.3,5.5,4.7,5.3
P0036,8,7.2,4.6,6.5,4.9,5.4
P0036,9,8.0,1.9,5.2,6.7,4.1
P0036,10,6.7,6.7,5.9,5.8,6.2
P0036,11,7.9,4.6,5.6,5.4,4.6
P0036,12,6.4,6.2,5.3,5.7,5.9
P0037,1,6.3,1.0,3.4,6.0,2.7
P0037,2,8.6,1.0,1.9,6.5,1.8
P0037,3,7.8,1.7,1.0,7.7,1.9
P0037,4,7.4,1.8,1.5,7.0,1.4
P0037,5,7.1,2.3,3.1,4.4,2.4
P0037,6,9.0,2.3,5.6,5.6,4.9
P0037,7,7.2,1.0,4.6,6.4,3.9
P0037,8,5.8,2.9,3.5,6.4,2.5
P0037,9,6.8,1.5,4.2,5.1,3.8
P0037,10,7.2,1.0,6.0,5.1,4.1
P0037,11,7.5,2.4,5.3,6.5,3.1
P0037,12,7.6,2.9,5.1,5.5,4.2
P0038,1,6.8,5.2,6.8,4.5,6.1
P0038,2,6.6,4.6,7.0,5.4,7.3
P0038,3,7.1,5.8,5.3,5.4,5.7
P0038,4,7.3,3.3,4.9,5.4,4.4
P0038,5,7.0,5.5,8.2,5.4,7.0
P0038,6,7.1,3.2,5.2,6.6,5.0
P0038,7,8.4,4.2,3.4,7.8,4.2
P0038,8,6.7,4.7,7.6,5.0,7.9
P0038,9,6.7,4.4,5.7,6.6,5.1
P0038,10,6.1,5.9,2.5,6.0,4.8
P0038,11,6.0,5.3,5.6,6.0,5.2
P0038,12,6.8,7.1,7.5,4.5,7.5
P0039,1,6.4,3.8,9.0,3.7,8.3
P0039,2,6.3,6.9,5.9,4.6,5.7
P0039,3,6.2,6.3,5.7,6.9,5.3
P0039,4,6.4,6.8,4.6,3.9,5.2
P0039,5,7.3,6.3,8.4,5.3,7.8
P0039,6,7.0,6.5,7.4,5.7,7.1
P0039,7,6.6,5.0,6.4,6.0,7.5
P0039,8,6.7,6.3,5.6,5.5,6.2
P0039,9,8.0,6.3,7.2,4.7,7.2
P0039,10,7.8,6.0,3.4,4.4,3.9
P0039,11,6.2,7.4,5.7,5.3,6.9
P0039,12,6.4,6.7,7.0,5.8,6.7
P0040,1,7.7,2.0,7.8,4.4,6.4
P0040,2,7.0,4.0,8.4,4.3,7.5
P0040,3,7.2,5.9,8.1,5.9,7.8
P0040,4,7.2,4.9,6.2,5.1,5.9
P0040,5,7.0,4.2,8.6,4.4,6.9
P0040,6,7.7,2.3,6.5,6.1,3.6
P0040,7,9.0,3.4,5.8,5.0,3.9
P0040,8,7.2,3.9,4.9,6.7,4.3
P0040,9,6.5,6.1,4.3,5.1,5.4
P0040,10,6.5,4.1,4.7,6.6,5.7
P0040,11,6.5,5.6,2.6,7.2,3.6
P0040,12,7.2,3.6,5.5,3.0,4.7
P0041,1,7.7,3.1,5.4,4.9,4.8
P0041,2,6.6,3.7,2.4,6.7,3.0
P0041,3,6.8,4.8,5.2,5.1,5.7
P0041,4,7.4,3.5,2.2,7.5,3.4
P0041,5,7.0,3.0,4.6,7.1,5.3
P0041,6,7.3,2.9,2.7,7.0,3.1
P0041,7,5.9,5.3,1.8,6.4,4.2
P0041,8,8.0,1.0,1.1,8.0,1.9
P0041,9,6.8,1.8,2.9,5.8,3.1
P0041,10,6.3,3.3,3.6,5.8,4.2
P0041,11,6.2,3.9,5.1,4.0,4.3
P0041,12,5.9,3.0,4.8,5.5,5.2
P0042,1,7.6,5.9,5.8,5.9,6.9
P0042,2,8.3,1.0,5.7,4.5,4.7
P0042,3,5.8,5.9,5.4,5.7,3.6
P0042,4,7.2,4.4,4.8,4.7,3.7
P0042,5,5.6,5.2,3.0,7.6,3.4
P0042,6,7.5,3.6,5.3,5.0,6.3
P0042,7,5.2,7.2,4.2,6.1,6.2
P0042,8,6.4,4.5,5.3,4.6,4.6
P0042,9,5.8,6.2,5.4,5.9,7.0
P0042,10,7.3,4.3,3.9,6.5,3.7
P0042,11,7.0,5.8,3.8,7.3,4.3
P0042,12,6.8,5.5,6.5,4.5,5.1
P0043,1,7.9,3.7,8.1,4.7,7.5
P0043,2,6.7,4.9,4.3,6.8,5.1
P0043,3,7.1,6.1,8.4,4.4,8.9
P0043,4,6.8,4.4,6.2,4.7,7.2
P0043,5,7.8,3.3,6.8,6.5,5.0
P0043,6,5.7,8.5,5.8,5.1,7.2
P0043,7,6.9,6.0,5.0,6.2,5.2
P0043,8,6.9,5.7,4.9,2.8,6.4
P0043,9,7.9,3.6,6.3,5.0,4.8
P0043,10,7.4,5.2,6.5,6.3,5.5
P0043,11,7.6,2.7,6.3,6.2,6.3
P0043,12,7.9,4.4,3.9,8.1,4.7
P0044,1,5.3,4.7,4.0,4.7,3.1
P0044,2,6.8,4.5,3.4,7.9,2.7
P0044,3,7.4,3.2,2.2,7.7,2.4
P0044,4,7.8,4.1,5.4,4.4,4.0
P0044,5,6.4,4.9,4.0,4.8,4.3
P0044,6,6.9,3.6,4.6,4.8,5.4
P0044,7,7.2,1.9,2.6,5.9,1.8
P0044,8,6.5,5.3,6.4,5.2,5.3
P0044,9,5.9,6.4,3.7,6.2,6.8
P0044,10,6.1,3.7,3.9,5.8,4.1
P0044,11,7.8,4.6,5.9,5.0,4.4
P0044,12,7.6,3.5,7.1,2.5,4.1
P0045,1,7.7,4.4,2.6,7.8,4.2
P0045,2,7.3,3.8,2.7,7.2,4.1
P0045,3,8.1,5.3,5.2,5.8,4.6
P0045,4,6.3,5.2,4.2,6.1,3.4
P0045,5,7.2,5.0,3.9,6.6,4.0
P0045,6,6.9,3.6,4.4,5.9,4.9
P0045,7,6.2,4.6,6.5,4.7,5.2
