personnel_id,deployment_days,deployment_frequency,operational_exposure
P0260,11,6,2
P0261,92,1,2
P0262,72,3,4
P0263,22,1,8
P0264,58,0,8
P0265,17,3,8
P0266,55,1,2
P0267,82,3,5
P0268,61,2,1
P0269,90,3,2
P0270,43,3,9
P0271,104,0,9
P0272,66,0,9
P0273,77,1,7
P0274,60,0,9
P0275,99,2,4
P0276,26,3,10
P0277,38,1,4
P0278,101,1,4
P0279,65,2,6
P0280,100,2,2
P0281,8,1,3
P0282,112,0,3
P0283,99,2,3
P0284,28,3,6
P0285,51,1,6
P0286,89,5,8
P0287,55,0,10
P0288,59,0,6
P0289,111,1,10
P0290,104,2,7
P0291,51,3,5
P0292,73,2,4
P0293,103,3,8
P0294,102,0,8
P0295,12,0,6
P0296,6,2,7
P0297,25,3,4
P0298,1,1,10
P0299,76,4,9
P0300,5,3,10
P0301,94,2,3
P0302,28,2,8
P0303,53,2,1
P0304,11,0,10
P0305,98,1,9
P0306,23,2,6
P0307,84,1,7
P0308,9,0,4
P0309,111,2,4
P0310,8,3,4
P0311,0,0,8
P0312,91,2,5
P0313,105,3,1
P0314,26,1,6
P0315,44,3,10
P0316,111,2,9
P0317,110,4,7
P0318,45,1,6
P0319,64,2,6
P0320,92,2,7
P0321,51,1,10
P0322,19,1,6
P0323,43,0,7
P0324,15,6,10
P0325,7,2,4
P0326,52,1,5
P0327,111,4,7
P0328,66,0,6
P0329,76,3,3
P0330,91,2,6
P0331,62,3,6
P0332,30,0,8
P0333,1,3,4
P0334,87,1,8
P0335,120,4,4
P0336,72,3,3
P0337,118,1,8
P0338,69,0,10
P0339,115,1,7
P0340,90,3,4
P0341,110,0,2
P0342,76,3,10
P0343,32,4,9
P0344,79,3,1
P0345,23,4,8
P0346,0,4,6
P0347,12,3,3
P0348,14,2,2
P0349,48,2,6
P0350,1,0,2
P0351,39,3,8
P0352,107,1,8
P0353,60,1,10
P0354,6,2,6
P0355,91,1,6
P0356,23,1,8
P0357,63,2,10
P0358,43,4,7
P0359,53,3,9
P0360,35,0,9
P0361,8,1,2
P0362,15,0,1
P0363,97,3,2
P0364,58,2,4
P0365,58,1,10
P0366,93,0,9
P0367,85,2,5
P0368,35,2,6
P0369,27,1,8
P0370,61,4,6
P0371,104,2,9
P0372,5,4,8
P0373,50,2,7
P0374,91,1,1
P0375,46,2,1
P0376,59,2,3
P0377,57,1,9
P0378,93,1,1
P0379,100,2,8
P0380,11,0,9
P0381,63,2,6
P0382,64,4,6
P0383,102,2,6
P0384,116,4,10
P0385,60,2,4
P0386,102,2,1
P0387,20,1,7
P0388,107,1,7
P0389,50,0,2
P0390,5,1,9
P0391,116,1,9
P0392,47,0,4
P0393,26,1,10
P0394,13,2,8
P0395,52,0,9
P0396,49,1,9
P0397,93,0,4
P0398,115,1,1
P0399,112,3,3
P0400,38,2,8
P0401,45,2,4
P0402,3,3,5
P0403,86,1,7
P0404,71,1,2
P0405,50,3,2
P0406,29,2,7
P0407,101,0,7
P0408,52,3,2
P0409,119,0,9
P0410,90,3,7
P0411,92,3,2
P0412,24,1,8
P0413,5,4,2
P0414,118,0,1
P0415,58,1,6
P0416,81,2,4
P0417,53,3,7
P0418,22,5,3
P0419,81,3,6
P0420,102,2,3
P0421,72,5,3
P0422,1,3,7
P0423,30,1,2
P0424,85,1,5
P0425,63,2,6
P0426,92,2,7
P0427,9,0,10
P0428,89,0,5
P0429,39,0,6
P0430,3,3,9
P0431,2,1,3
P0432,16,1,4
P0433,16,2,3
P0434,77,2,8
P0435,82,1,8
P0436,73,1,4
P0437,120,2,6
P0438,79,1,10
P0439,100,4,7
P0440,57,2,8
P0441,52,3,1
P0442,111,1,2
P0443,74,2,10
P0444,55,4,3
P0445,108,1,8
P0446,68,3,10
P0447,11,3,4
P0448,58,2,9
P0449,31,1,10
P0450,62,4,4
P0451,72,1,7
P0452,77,3,9
P0453,69,3,4
P0454,115,4,9
P0455,75,3,7
P0456,18,2,1
P0457,22,2,4
P0458,117,3,8
P0459,87,2,5
P0460,23,1,2
P0461,61,6,5
P0462,103,4,3
P0463,32,1,2
P0464,80,3,10
P0465,78,2,9
P0466,25,2,4
P0467,62,4,6
P0468,3,2,9
P0469,39,1,8
P0470,68,2,5
P0471,90,0,4
P0472,81,0,2
P0473,93,3,8
P0474,120,3,3
P0475,60,2,6
P0476,88,2,7
P0477,59,0,3
P0478,18,2,1
P0479,9,1,1
P0480,59,2,4
P0481,98,1,8
P0482,9,1,7
P0483,82,3,6
P0484,47,0,4
P0485,6,3,4
P0486,118,1,3
P0487,3,3,2
P0488,91,0,9
P0489,45,3,3
P0490,40,5,9
P0491,24,0,1
P0492,53,3,1
P0493,72,1,4
P0494,35,2,6
P0495,116,3,7
P0496,98,0,3
P0497,109,0,7
P0498,93,2,7
P0499,15,2,3
P0500,69,0,1
P0501,93,1,2
P0502,91,1,9
P0503,74,2,8
P0504,2,3,4
P0505,21,4,7
P0506,116,2,7
P0507,114,5,3
P0508,20,2,2
P0509,53,2,5
P0510,35,3,4
P0511,91,0,10
P0512,9,2,4
P0513,57,2,6
P0514,62,2,1
P0515,40,1,5
P0516,2,1,7
P0517,108,3,8
P0518,11,3,8
P0519,27,0,5
P0520,63,3,8
P0521,62,4,3
P0522,39,1,5
P0523,98,4,4
P0524,109,3,6
P0525,81,0,5
P0526,90,3,7
P0527,19,3,5
P0528,80,1,10
P0529,11,3,7
P0530,66,2,10
P0531,22,2,8
P0532,89,2,4
P0533,17,1,2
P0534,41,0,10
P0535,108,2,3
P0536,106,1,9
P0537,62,1,8
P0538,113,2,4
P0539,33,1,6
P0540,3,2,4
P0541,74,3,2
P0542,103,0,4
P0543,86,1,1
P0544,109,5,4
P0545,109,1,8
P0546,46,1,10
P0547,38,2,3
P0548,59,2,4
P0549,103,3,4
P0550,109,1,5
P0551,64,2,8
P0552,16,0,1
P0553,36,3,5
P0554,12,1,8
P0555,118,3,9
P0556,10,3,1
P0557,78,1,9
P0558,118,1,3
P0559,18,2,5
P0560,67,5,7
P0561,109,2,2
P0562,82,0,7
P0563,18,1,7
P0564,66,4,1
P0565,51,2,3
P0566,101,1,5
P0567,60,3,1
P0568,14,2,3
P0569,75,0,1
P0570,92,1,9
P0571,95,1,10
P0572,88,4,10
P0573,7,3,3
P0574,65,1,9
P0575,91,1,7
P0576,20,0,4
P0577,47,2,8
P0578,85,5,5
P0579,46,3,10
P0580,63,1,5
P0581,39,0,1
P0582,37,3,4
P0583,112,1,10
P0584,28,2,3
P0585,79,3,8
P0586,6,4,6
P0587,113,3,8
P0588,24,1,8
P0589,42,1,6
P0590,25,0,9
P0591,41,2,8
P0592,62,1,6
P0593,88,2,10
P0594,56,3,3
P0595,14,2,1
P0596,78,6,7
P0597,56,1,10
P0598,64,3,7
P0599,97,3,10
P0600,15,2,4
P0601,115,4,3
P0602,1,3,2
P0603,43,2,8
P0604,68,4,5
P0605,36,1,6
P0606,24,5,7
P0607,84,0,8
P0608,41,3,8
P0609,81,2,5
P0610,17,0,9
P0611,53,1,1
P0612,40,1,8
P0613,10,2,6
P0614,41,5,10
P0615,51,5,3
P0616,13,0,2
P0617,61,3,2
P0618,33,1,7
P0619,64,2,1
P0620,78,4,7
P0621,37,3,7
P0622,44,1,6
P0623,85,2,4
P0624,3,1,10
P0625,53,0,6
P0626,59,1,8
P0627,104,0,3
P0628,81,1,2
P0629,58,0,2
P0630,3,1,1
P0631,60,1,6
P0632,111,1,6
P0633,72,1,7
P0634,35,2,9
P0635,23,1,10
P0636,39,0,4
P0637,118,3,10
P0638,21,3,6
P0639,104,3,4
P0640,112,2,8
P0641,42,2,7
P0642,18,1,7
P0643,55,1,7
P0644,24,3,1
P0645,61,2,8
P0646,82,2,2
P0647,114,5,8
P0648,93,0,8
P0649,114,3,6
P0650,9,1,1
P0651,35,1,1
P0652,105,5,6
P0653,5,1,8
P0654,90,1,8
P0655,86,4,5
P0656,16,4,1
P0657,4,3,9
P0658,70,3,5
P0659,63,1,1
P0660,69,1,5
P0661,18,1,7
P0662,78,4,1
P0663,5,1,4
P0664,36,1,4
P0665,17,3,2
P0666,0,1,6
P0667,70,2,9
P0668,6,2,2
P0669,42,2,3
P0670,53,1,7
P0671,53,1,2
P0672,56,1,7
P0673,106,7,10
P0674,119,3,9
P0675,74,3,7
P0676,57,3,5
P0677,47,0,3
P0678,95,0,6
P0679,34,2,9
P0680,51,3,4
P0681,100,2,4
P0682,92,3,1
P0683,71,7,2
P0684,84,0,8
P0685,6,2,5
P0686,98,0,8
P0687,65,1,4
P0688,58,1,10
P0689,12,3,1
P0690,10,1,1
P0691,89,1,4
P0692,55,0,8
P0693,47,3,5
P0694,101,0,5
P0695,20,2,10
P0696,97,5,10
P0697,40,3,9
P0698,95,0,6
P0699,83,2,9
P0700,53,2,2
P0701,63,2,2
P0702,67,1,10
P0703,69,1,2
P0704,117,1,3
P0705,4,1,8
P0706,18,3,3
P0707,100,1,4
P0708,116,0,7
P0709,48,3,10
P0710,18,5,8
P0711,77,2,8
P0712,28,2,4
P0713,60,3,8
P0714,64,0,9
P0715,33,0,4
P0716,29,2,9
P0717,82,0,7
P0718,68,2,10
P0719,66,1,8
P0720,39,1,7
P0721,20,1,4
P0722,49,1,7
P0723,70,5,6
P0724,26,2,6
P0725,103,3,6
P0726,58,1,2
P0727,32,1,10
P0728,33,2,7
P0729,114,1,3
P0730,31,3,4
P0731,115,0,5
P0732,15,2,9
P0733,4,1,10
P0734,27,2,9
P0735,99,1,6
P0736,14,3,9
P0737,120,2,7
P0738,40,2,9
P0739,105,1,1
P0740,16,0,6
P0741,0,1,9
P0742,53,4,1
P0743,71,3,5
P0744,24,1,9
P0745,6,2,2
P0746,34,3,5
P0747,11,0,6
P0748,82,1,1
P0749,110,1,8
P0750,47,1,7
P0751,93,2,6
P0752,63,1,9
P0753,26,1,4
P0754,28,2,4
P0755,44,4,4
P0756,44,2,1
P0757,95,0,1
P0758,114,0,4
P0759,9,0,1
P0760,100,9,4
P0761,23,3,2
P0762,116,1,5
P0763,81,2,9
P0764,89,3,4
P0765,91,5,3
P0766,106,4,3
P0767,20,1,1
P0768,64,3,9
P0769,42,2,9
P0770,59,3,5
P0771,49,4,3
P0772,85,4,6
P0773,1,1,5
P0774,77,2,4
P0775,0,3,4
P0776,101,0,10
P0777,53,2,9
P0778,90,2,7
P0779,28,3,6
P0780,39,1,2
P0781,44,3,6
P0782,103,4,7
P0783,53,1,4
P0784,100,0,2
P0785,99,1,7
P0786,99,1,1
P0787,34,3,10
P0788,110,0,6
P0789,70,3,2
P0790,102,3,5
P0791,5,0,8
P0792,73,2,10
P0793,115,4,10
P0794,40,2,10
P0795,103,4,8
P0796,58,2,8
P0797,94,0,2
P0798,84,2,4
P0799,49,2,3
P0800,101,0,2
P0801,50,3,3
P0802,85,1,10
P0803,80,4,8
P0804,90,1,4
P0805,0,3,7
P0806,98,2,4
P0807,110,0,3
P0808,38,6,7
P0809,102,2,3
P0810,59,2,10
P0811,93,1,9
P0812,113,1,1
P0813,77,4,8
P0814,83,4,1
P0815,3,2,6
P0816,91,2,8
P0817,38,1,6
P0818,56,0,10
P0819,1,1,10
P0820,11,1,6
P0821,74,1,1
P0822,100,2,1
P0823,5,1,9
P0824,43,0,8
P0825,31,0,5
P0826,43,5,5
P0827,56,1,2
P0828,77,5,4
P0829,31,2,10
P0830,11,4,2
P0831,72,2,8
P0832,12,2,8
P0833,5,3,2
P0834,86,2,6
P0835,80,2,6
P0836,19,0,2
P0837,91,2,7
P0838,103,3,7
P0839,82,2,4
P0840,99,2,4
P0841,37,0,6
P0842,28,1,4
P0843,103,5,2
P0844,71,1,7
P0845,90,2,7
P0846,34,0,10
P0847,119,1,6
P0848,54,3,4
P0849,72,2,1
P0850,2,1,6
P0851,112,2,4
P0852,115,1,10
P0853,52,3,3
P0854,5,3,9
P0855,109,1,5
P0856,16,0,9
P0857,57,3,9
P0858,36,2,10
P0859,57,2,5
P0860,111,5,4
P0861,34,1,2
P0862,114,1,2
P0863,59,2,7
P0864,0,2,8
P0865,114,2,10
P0866,21,3,10
P0867,38,1,7
P0868,43,2,2
P0869,70,1,6
P0870,52,1,5
P0871,12,1,7
P0872,31,2,4
P0873,26,1,10
P0874,88,1,9
P0875,94,3,10
P0876,110,0,7
P0877,49,5,1
P0878,97,0,2
P0879,56,6,3
P0880,27,2,5
P0881,59,5,4
P0882,81,3,3
P0883,96,2,7
P0884,36,0,5
P0885,75,1,6
P0886,41,2,9
P0887,57,2,4
P0888,7,4,9
P0889,2,3,7
P0890,78,0,7
P0891,99,1,4
P0892,7,2,10
P0893,120,1,3
P0894,107,4,1
P0895,110,5,10
P0896,9,2,6
P0897,26,1,9
P0898,51,0,6
P0899,58,1,4
P0900,55,2,4
P0901,70,2,8
P0902,78,0,10
P0903,82,2,5
P0904,60,2,6
P0905,29,4,4
P0906,100,3,2
P0907,91,2,9
P0908,62,3,7
P0909,98,1,10
P0910,34,1,5
P0911,8,2,8
P0912,90,2,4
P0913,84,2,4
P0914,52,2,5
P0915,60,2,7
P0916,112,2,6
P0917,100,3,10
P0918,73,1,8
P0919,58,3,1
P0920,86,2,10
P0921,107,3,7
P0922,57,5,2
P0923,33,3,9
P0924,44,0,7
P0925,32,2,2
P0926,60,4,8
P0927,81,0,3
P0928,31,1,2
P0929,117,4,10
P0930,106,2,6
P0931,0,1,7
P0932,86,0,2
P0933,75,0,1
P0934,106,1,1
P0935,88,0,3
P0936,27,1,4
P0937,63,3,5
P0938,22,3,2
P0939,23,3,4
P0940,40,2,9
P0941,105,2,6
P0942,63,3,4
P0943,64,5,8
P0944,85,3,2
P0945,26,1,7
P0946,97,0,5
P0947,115,1,7
P0948,66,3,10
P0949,90,3,9
P0950,84,3,9
P0951,91,1,7
P0952,13,1,8
P0953,112,2,3
P0954,76,1,4
P0955,50,1,8
P0956,97,3,4
P0957,95,1,2
P0958,58,1,10
P0959,60,1,6
P0960,43,2,7
P0961,8,1,6
P0962,35,4,10
P0963,22,3,2
P0964,34,1,10
P0965,87,2,6
P0966,62,1,3
P0967,97,3,6
P0968,56,1,9
P0969,105,4,9
P0970,106,4,5
P0971,74,0,7
P0972,98,1,10
P0973,107,0,7
P0974,33,2,10
P0975,25,1,1
P0976,86,3,1
P0977,69,1,3
P0978,45,1,8
P0979,115,7,7
P0980,40,3,7
P0981,61,1,4
P0982,5,4,2
P0983,114,0,6
P0984,70,1,4
P0985,56,5,6
P0986,117,1,8
P0987,22,3,9
P0988,3,3,8
P0989,87,2,7
P0990,15,3,6
P0991,79,2,3
P0992,37,4,2
P0993,42,0,1
P0994,25,2,7
P0995,61,2,9
P0996,43,1,1
P0997,90,1,5
P0998,79,0,10
P0999,58,3,1
P1000,64,3,8
P1001,58,4,5
P1002,111,1,1
P1003,83,3,9
P1004,115,1,2
P1005,94,0,3
P1006,25,2,7
P1007,67,1,1
P1008,25,1,6
P1009,112,0,5
P1010,6,1,6
P1011,33,2,8
P1012,28,2,1
P1013,28,2,9
P1014,1,2,4
P1015,24,3,10
P1016,75,2,7
P1017,77,1,5
P1018,37,0,6
P1019,19,3,7
P1020,33,3,2
P1021,51,3,9
P1022,17,2,10
P1023,60,3,8
P1024,86,1,7
P1025,47,2,10
P1026,78,2,3
P1027,43,4,4
P1028,39,1,3
P1029,93,0,3
P1030,78,0,2
P1031,72,4,5
P1032,6,5,7
P1033,48,9,4
P1034,76,2,6
P1035,69,0,7
P1036,20,3,10
P1037,96,0,8
P1038,83,1,9
P1039,7,1,7
P1040,66,3,8
P1041,102,2,9
P1042,57,3,7
P1043,100,2,6
P1044,90,1,6
P1045,19,1,1
P1046,52,0,10
P1047,23,3,5
P1048,25,1,5
P1049,6,3,4
P1050,21,0,4
P1051,108,2,4
P1052,82,1,4
P1053,60,2,2
P1054,35,5,2
P1055,29,2,8
P1056,4,2,8
P1057,97,4,7
P1058,21,2,1
P1059,64,1,3
P1060,40,2,2
P1061,40,4,3
P1062,2,5,3
P1063,20,3,5
P1064,9,4,2
P1065,115,2,1
P1066,41,2,3
P1067,62,2,5
P1068,53,1,1
P1069,3,2,3
P1070,118,5,4
P1071,34,0,9
P1072,51,2,10
P1073,6,1,1
P1074,89,3,8
P1075,33,1,3
P1076,8,1,5
P1077,108,1,9
P1078,78,4,2
P1079,40,2,6
P1080,45,3,2
P1081,31,2,10
P1082,106,2,9
P1083,111,1,4
P1084,103,1,7
P1085,72,2,5
P1086,14,1,7
P1087,64,4,4
P1088,91,2,3
P1089,80,1,9
P1090,111,1,10
P1091,83,0,5
P1092,68,4,1
P1093,27,3,1
P1094,2,2,1
P1095,52,2,5
P1096,95,3,6
P1097,36,2,9
P1098,37,1,4
P1099,49,1,4
P1100,54,1,3
P1101,5,0,3
P1102,67,1,7
P1103,57,4,8
P1104,91,3,9
P1105,119,1,7
P1106,94,2,6
P1107,35,1,2
P1108,6,0,1
P1109,100,1,4
P1110,116,3,10
P1111,0,2,5
P1112,77,5,3
P1113,91,2,6
P1114,88,2,1
P1115,77,1,5
P1116,115,3,1
P1117,29,0,1
P1118,112,1,2
P1119,115,2,8
P1120,111,2,3
P1121,97,1,4
P1122,48,0,2
P1123,59,5,8
P1124,10,4,3
P1125,115,2,10
P1126,118,1,5
P1127,77,0,9
P1128,63,3,3
P1129,2,2,6
P1130,27,0,3
P1131,53,2,7
P1132,29,0,4
P1133,7,1,10
P1134,27,0,10
P1135,13,0,5
P1136,46,5,5
P1137,44,2,10
P1138,12,0,4
P1139,85,1,4
P1140,117,5,3
P1141,74,0,7
P1142,92,6,8
P1143,45,2,7
P1144,43,3,3
P1145,15,3,3
P1146,75,1,8
P1147,26,3,3
P1148,72,5,9
P1149,35,2,9
P1150,113,1,1
P1151,81,2,8
P1152,114,0,8
P1153,119,3,7
P1154,49,2,6
P1155,101,1,8
P1156,70,1,9
P1157,51,5,8
P1158,92,1,8
P1159,38,1,7
P1160,103,1,1
P1161,119,2,6
P1162,120,1,4
P1163,112,2,9
P1164,116,3,8
P1165,80,3,9
P1166,27,2,9
P1167,92,1,1
P1168,116,0,4
P1169,4,3,2
P1170,99,4,9
P1171,99,2,4
P1172,20,2,6
P1173,86,0,10
P1174,26,1,10
P1175,43,3,10
P1176,29,3,5
P1177,96,2,2
P1178,92,2,7
P1179,107,2,4
P1180,32,2,7
P1181,80,2,1
P1182,15,0,10
P1183,3,3,7
P1184,32,3,4
P1185,93,1,8
P1186,30,2,3
P1187,23,3,6
P1188,1,1,4
P1189,25,2,4
P1190,24,3,7
P1191,56,4,1
P1192,114,2,9
P1193,114,2,5
P1194,49,0,7
P1195,34,0,9
P1196,111,3,7
P1197,8,4,5
P1198,4,0,1
P1199,57,1,9
P1200,26,2,10
P1201,59,2,1
P1202,99,2,6
P1203,77,2,10
P1204,96,2,9
P1205,113,8,10
P1206,70,3,10
P1207,103,2,10
P1208,51,2,6
P1209,50,4,6
P1210,37,3,7
P1211,19,3,7
P1212,73,6,3
P1213,86,2,5
P1214,22,2,2
P1215,49,3,7
P1216,89,2,2
P1217,59,1,5
P1218,57,2,8
P1219,80,6,3
P1220,77,2,2
P1221,55,3,3
P1222,40,6,8
P1223,94,2,3
P1224,81,4,8
P1225,11,3,7
P1226,43,1,6
P1227,34,2,3
P1228,30,0,7
P1229,26,2,6
P1230,42,3,4
P1231,74,0,8
P1232,67,2,8
P1233,29,3,2
P1234,1,3,5
P1235,29,1,3
P1236,29,3,4
P1237,25,2,2
P1238,45,0,8
P1239,58,1,4
P1240,49,1,4
P1241,74,1,4
P1242,113,3,4
P1243,117,5,6
P1244,69,1,8
P1245,120,1,4
P1246,12,2,2
P1247,83,1,5
P1248,90,2,2
P1249,14,2,3
P1250,103,3,7
P1251,21,0,10
P1252,120,1,4
P1253,19,2,2
P1254,33,1,4
P1255,50,1,6
P1256,99,1,10
P1257,79,1,2
P1258,44,3,4
P1259,103,1,10
P1260,91,4,10
P1261,67,0,5
P1262,18,1,4
P1263,69,3,6
P1264,94,2,8
P1265,21,1,4
P1266,106,2,8
P1267,87,2,4
P1268,50,1,3
P1269,17,4,4
P1270,84,1,7
P1271,8,2,9
P1272,58,1,5
P1273,55,3,8
P1274,5,3,6
P1275,26,2,4
P1276,82,1,7
P1277,107,2,7
P1278,67,1,1
P1279,36,4,8
P1280,47,2,7
P1281,68,1,4
P1282,76,2,3
P1283,53,2,5
P1284,114,6,8
P1285,2,2,8
P1286,105,2,2
P1287,64,3,7
P1288,70,3,2
P1289,95,0,5
P1290,36,2,2
P1291,41,2,2
P1292,94,3,5
P1293,1,3,4
P1294,96,1,10
P1295,59,2,7
P1296,62,3,9
P1297,2,1,2
P1298,52,1,7
P1299,67,2,5
P1300,32,4,7
P1301,56,2,6
P1302,65,0,9
P1303,28,2,7
P1304,75,2,7
P1305,116,3,4
P1306,73,1,2
P1307,53,1,10
P1308,60,1,6
P1309,46,2,1
P1310,96,3,10
P1311,39,2,5
P1312,119,2,6
P1313,15,1,1
P1314,78,2,6
P1315,29,2,2
P1316,59,4,5
P1317,91,4,9
P1318,86,1,8
P1319,5,3,4
P1320,99,0,6
P1321,61,1,6
P1322,118,3,2
P1323,19,3,2
P1324,40,2,3
P1325,38,0,5
P1326,91,4,6
P1327,58,1,9
P1328,73,2,3
P1329,82,0,2
P1330,101,2,1
P1331,118,2,3
P1332,9,2,3
P1333,3,1,7
P1334,59,3,7
P1335,105,1,6
P1336,118,1,5
P1337,42,2,5
P1338,44,2,8
P1339,31,1,7
P1340,42,1,4
P1341,22,6,8
P1342,69,3,1
P1343,9,3,10
P1344,2,3,10
P1345,104,2,8
P1346,113,4,5
P1347,112,4,8
P1348,109,2,3
P1349,35,3,6
P1350,88,2,4
P1351,54,2,9
P1352,74,1,5
P1353,49,2,4
P1354,65,3,8
P1355,14,3,2
P1356,38,4,2
P1357,36,3,4
P1358,83,1,4
P1359,83,3,1
P1360,119,4,6
P1361,56,0,3
P1362,71,0,6
P1363,24,4,1
P1364,120,2,7
P1365,36,2,2
P1366,17,2,7
P1367,1,6,9
P1368,84,2,9
P1369,65,2,4
P1370,12,3,3
P1371,73,2,1
P1372,112,2,8
P1373,33,0,7
P1374,118,2,2
P1375,117,1,10
P1376,105,3,4
P1377,83,2,6
P1378,10,2,9
P1379,105,1,10
P1380,98,1,10
P1381,5,0,9
P1382,4,3,2
P1383,48,0,7
P1384,114,2,9
P1385,46,3,7
P1386,29,2,4
P1387,97,2,1
P1388,117,5,6
P1389,40,0,9
P1390,47,5,1
P1391,44,0,2
P1392,69,2,6
P1393,29,2,10
P1394,14,0,2
