personnel_id,age,service_years,rank_level,transfer_frequency,training_hours
P0155,48,17,Junior,1,11.2
P0156,27,3,Junior,0,9.0
P0157,34,2,Junior,0,11.9
P0158,49,8,Junior,0,6.9
P0159,44,23,Intermediate,0,10.4
P0160,23,1,Intermediate,0,9.5
P0161,22,1,Intermediate,5,3.2
P0162,38,7,Intermediate,2,6.4
P0163,39,4,Intermediate,3,8.2
P0164,43,12,Intermediate,0,14.4
P0165,50,9,Junior,0,13.9
P0166,37,2,Junior,0,9.9
P0167,28,2,Intermediate,0,10.7
P0168,24,2,Intermediate,0,9.3
P0169,43,5,Junior,1,3.5
P0170,37,5,Intermediate,1,12.2
P0171,30,6,Junior,3,6.0
P0172,33,1,Junior,1,12.0
P0173,22,1,Junior,1,4.3
P0174,41,11,Junior,0,12.3
P0175,37,11,Junior,1,12.0
P0176,25,4,Junior,0,10.7
P0177,40,19,Intermediate,0,20.2
P0178,22,1,Intermediate,1,9.6
P0179,28,1,Junior,2,13.9
P0180,37,13,Intermediate,1,7.6
P0181,32,8,Intermediate,2,10.2
P0182,38,12,Junior,2,10.0
P0183,30,7,Senior,1,7.1
P0184,27,1,Junior,0,8.6
P0185,47,23,Intermediate,1,15.4
P0186,27,1,Intermediate,0,0.0
P0187,32,2,Senior,1,15.8
P0188,44,17,Intermediate,2,2.4
P0189,33,10,Senior,1,8.2
P0190,23,1,Senior,0,5.3
P0191,50,17,Junior,1,8.2
P0192,27,4,Intermediate,0,15.8
P0193,23,1,Junior,0,6.0
P0194,45,16,Junior,2,6.9
P0195,44,4,Junior,2,13.9
P0196,34,8,Intermediate,1,9.1
P0197,40,4,Junior,3,7.4
P0198,46,9,Junior,1,7.9
P0199,25,2,Senior,3,15.7
P0200,50,17,Junior,1,7.7
P0201,44,15,Junior,2,4.0
P0202,49,9,Junior,1,7.1
P0203,35,8,Senior,1,9.1
P0204,38,6,Senior,0,10.4
P0205,48,5,Senior,0,10.2
P0206,39,3,Junior,2,14.1
P0207,26,3,Senior,0,8.9
P0208,33,11,Junior,1,8.9
P0209,47,6,Junior,3,10.9
P0210,38,4,Intermediate,1,9.4
P0211,22,1,Junior,3,12.6
P0212,23,2,Junior,3,18.7
P0213,48,15,Senior,0,10.7
P0214,38,4,Junior,1,11.6
P0215,30,6,Junior,1,11.5
P0216,27,5,Junior,0,7.9
P0217,35,3,Junior,0,9.5
P0218,24,1,Junior,3,5.1
P0219,22,1,Intermediate,0,11.7
P0220,25,3,Senior,1,11.0
P0221,47,1,Junior,2,11.6
P0222,38,15,Intermediate,1,12.8
P0223,45,17,Junior,0,16.5
P0224,27,3,Intermediate,0,0.1
P0225,44,3,Junior,1,16.6
P0226,40,4,Intermediate,0,16.0
P0227,48,22,Intermediate,0,7.5
P0228,33,1,Junior,0,14.0
P0229,38,14,Senior,2,13.8
P0230,29,1,Junior,1,13.4
P0231,42,20,Junior,2,14.1
P0232,50,1,Intermediate,0,10.4
P0233,27,2,Senior,0,13.7
P0234,30,7,Intermediate,1,12.2
P0235,47,6,Intermediate,2,15.1
P0236,35,11,Intermediate,1,12.2
P0237,26,2,Intermediate,1,9.1
P0238,38,12,Junior,0,5.1
P0239,33,3,Junior,1,12.1
P0240,43,19,Junior,0,7.7
P0241,39,5,Senior,2,8.0
P0242,35,1,Intermediate,0,10.8
P0243,41,20,Intermediate,2,13.8
P0244,29,4,Junior,1,21.8
P0245,35,2,Intermediate,2,4.9
P0246,38,8,Intermediate,0,3.8
P0247,46,8,Junior,2,0.0
P0248,26,5,Junior,0,11.5
P0249,49,15,Intermediate,2,4.7
P0250,48,2,Senior,0,14.3
P0251,21,1,Intermediate,0,9.8
P0252,31,10,Junior,0,11.9
P0253,30,9,Junior,0,16.0
P0254,42,20,Junior,1,13.4
P0255,32,5,Intermediate,1,10.7
P0256,47,20,Junior,0,14.4
P0257,25,4,Junior,1,10.8
P0258,32,10,Junior,1,6.4
P0259,50,2,Junior,2,1.5
P0260,26,4,Junior,0,11.2
P0261,40,16,Senior,1,12.4
P0262,49,6,Senior,0,6.8
P0263,22,1,Intermediate,1,10.7
P0264,37,12,Junior,4,10.7
P0265,36,5,Intermediate,0,11.4
P0266,29,1,Junior,3,5.6
P0267,24,2,Junior,0,14.2
P0268,38,13,Intermediate,1,12.3
P0269,44,22,Intermediate,0,15.4
P0270,35,5,Junior,1,16.3
P0271,37,3,Junior,0,16.6
P0272,30,2,Intermediate,1,14.0
P0273,36,2,Intermediate,0,5.4
P0274,22,1,Intermediate,0,3.9
P0275,24,3,Junior,2,15.3
P0276,31,7,Senior,0,10.3
P0277,35,9,Intermediate,1,4.4
P0278,34,13,Intermediate,1,9.6
P0279,49,15,Intermediate,1,7.1
P0280,33,4,Intermediate,1,16.2
P0281,32,10,Intermediate,0,13.8
P0282,49,10,Senior,1,7.4
P0283,42,1,Junior,1,20.2
P0284,46,9,Intermediate,0,11.7
P0285,45,10,Senior,0,13.0
P0286,38,4,Junior,1,7.2
P0287,24,2,Intermediate,1,12.5
P0288,43,21,Junior,0,11.7
P0289,35,3,Intermediate,1,15.8
P0290,50,25,Senior,0,3.3
P0291,41,18,Junior,1,12.3
P0292,27,5,Junior,0,16.5
P0293,21,1,Intermediate,1,14.6
P0294,33,1,Intermediate,1,3.8
P0295,41,8,Senior,1,5.3
P0296,26,2,Senior,2,5.1
P0297,50,20,Junior,2,6.0
P0298,36,10,Junior,1,12.5
P0299,37,16,Intermediate,2,5.6
P0300,25,4,Senior,2,8.7
P0301,26,2,Intermediate,2,8.8
P0302,33,2,Junior,0,8.4
P0303,45,9,Intermediate,1,11.8
P0304,35,6,Intermediate,1,7.9
P0305,37,10,Intermediate,2,7.2
P0306,27,4,Intermediate,0,11.7
P0307,23,2,Junior,0,10.3
P0308,30,9,Intermediate,1,12.2
P0309,34,1,Intermediate,1,0.0
P0310,45,13,Junior,0,10.3
P0311,22,1,Intermediate,0,11.0
P0312,34,4,Junior,0,6.1
P0313,26,5,Junior,1,14.6
P0314,22,1,Intermediate,0,1.9
P0315,31,2,Junior,2,7.5
P0316,36,12,Intermediate,1,8.8
P0317,25,3,Junior,0,13.8
P0318,38,5,Senior,1,11.7
P0319,27,3,Junior,3,7.7
P0320,42,6,Junior,1,0.0
P0321,27,5,Junior,0,6.0
P0322,48,11,Intermediate,1,9.9
P0323,46,4,Senior,0,14.4
P0324,49,20,Senior,2,12.1
P0325,37,8,Junior,1,12.7
P0326,46,8,Intermediate,3,8.0
P0327,35,1,Junior,1,10.4
P0328,25,4,Junior,0,16.9
P0329,31,1,Junior,0,6.8
P0330,34,4,Junior,2,15.2
P0331,31,10,Junior,2,12.4
P0332,22,1,Intermediate,0,15.2
P0333,24,2,Junior,0,9.9
P0334,38,10,Intermediate,0,12.3
P0335,28,2,Intermediate,2,6.6
P0336,35,1,Senior,0,11.4
P0337,45,8,Junior,1,9.1
P0338,34,1,Intermediate,0,8.9
P0339,50,23,Senior,0,18.5
P0340,50,21,Senior,2,12.8
P0341,31,6,Intermediate,0,16.9
P0342,22,1,Junior,2,11.2
P0343,39,12,Intermediate,1,2.4
P0344,39,7,Intermediate,2,10.3
P0345,46,16,Intermediate,2,11.0
P0346,22,1,Junior,2,9.2
P0347,47,2,Junior,2,6.9
P0348,22,1,Intermediate,3,12.6
P0349,39,5,Junior,1,7.3
P0350,46,5,Intermediate,0,12.7
P0351,27,5,Junior,0,8.3
P0352,37,7,Senior,2,5.3
P0353,46,23,Intermediate,0,20.0
P0354,39,17,Intermediate,0,8.6
P0355,44,13,Intermediate,1,10.3
P0356,33,4,Junior,1,15.2
P0357,40,17,Intermediate,4,14.9
P0358,47,15,Junior,1,12.3
P0359,29,2,Intermediate,0,4.4
P0360,33,11,Junior,1,5.3
P0361,37,11,Junior,1,14.1
P0362,49,5,Intermediate,2,9.2
P0363,46,4,Junior,3,8.9
P0364,40,4,Junior,0,6.0
P0365,30,6,Junior,0,9.1
P0366,36,6,Junior,1,11.5
P0367,29,5,Senior,0,14.2
P0368,41,4,Junior,1,18.1
P0369,35,2,Intermediate,1,9.0
P0370,46,12,Intermediate,1,13.7
P0371,41,18,Junior,1,4.9
P0372,41,12,Junior,0,5.7
P0373,38,4,Junior,0,11.9
P0374,44,2,Junior,2,17.7
P0375,22,1,Junior,1,11.7
P0376,22,1,Senior,1,13.6
P0377,32,8,Intermediate,0,10.3
P0378,39,17,Junior,0,9.9
P0379,40,4,Intermediate,1,8.6
P0380,29,8,Senior,1,12.0
P0381,45,24,Intermediate,2,11.2
P0382,45,18,Junior,1,7.0
P0383,32,10,Junior,0,6.8
P0384,28,7,Intermediate,0,13.7
P0385,34,8,Intermediate,1,11.5
P0386,33,3,Senior,0,5.5
P0387,26,1,Intermediate,0,15.4
P0388,36,11,Junior,3,6.8
P0389,31,7,Senior,2,5.8
P0390,26,2,Junior,0,11.7
P0391,47,5,Intermediate,2,10.8
P0392,49,28,Senior,2,8.6
P0393,32,9,Intermediate,2,15.2
P0394,48,26,Junior,0,9.9
P0395,46,1,Junior,0,7.3
P0396,46,11,Intermediate,1,1.9
P0397,25,4,Intermediate,2,5.3
P0398,28,4,Intermediate,0,14.8
P0399,40,1,Intermediate,0,15.5
P0400,45,15,Junior,0,14.1
P0401,23,1,Junior,4,5.2
P0402,21,1,Senior,0,13.3
P0403,47,2,Junior,2,11.0
P0404,34,11,Junior,0,9.7
P0405,44,14,Senior,0,8.3
P0406,39,3,Intermediate,1,13.0
P0407,27,6,Intermediate,0,7.9
P0408,35,4,Junior,2,13.2
P0409,50,9,Junior,1,3.6
P0410,47,14,Intermediate,0,13.1
P0411,24,2,Intermediate,2,9.6
P0412,37,16,Junior,3,9.3
P0413,25,4,Intermediate,1,13.9
P0414,44,1,Junior,1,12.0
P0415,42,12,Intermediate,0,6.1
P0416,42,8,Senior,1,8.1
P0417,39,4,Intermediate,0,12.9
P0418,23,2,Junior,0,7.3
P0419,47,23,Senior,0,13.6
P0420,38,17,Junior,2,9.1
P0421,30,1,Intermediate,1,0.0
P0422,40,17,Intermediate,0,4.2
P0423,34,1,Junior,0,8.8
P0424,41,17,Junior,1,7.0
P0425,29,1,Intermediate,0,10.5
P0426,47,7,Intermediate,0,15.3
P0427,31,3,Intermediate,1,15.9
P0428,28,5,Intermediate,1,7.2
P0429,33,10,Senior,1,8.1
P0430,33,7,Junior,1,10.6
P0431,24,2,Intermediate,1,14.5
P0432,37,1,Junior,0,18.8
P0433,29,7,Junior,3,5.4
P0434,29,1,Junior,0,10.0
P0435,26,3,Intermediate,3,11.3
P0436,31,1,Junior,1,17.6
P0437,50,17,Junior,2,14.2
P0438,24,3,Junior,2,8.7
P0439,32,2,Junior,1,8.6
P0440,31,10,Junior,0,10.9
P0441,48,1,Intermediate,1,8.4
P0442,21,1,Junior,0,10.5
P0443,49,10,Intermediate,1,9.4
P0444,37,1,Intermediate,1,7.1
P0445,40,12,Intermediate,0,5.5
P0446,46,14,Junior,1,10.4
P0447,38,6,Intermediate,1,9.6
P0448,43,6,Intermediate,2,10.9
P0449,35,14,Junior,1,5.2
P0450,37,13,Intermediate,2,10.6
P0451,30,2,Junior,0,9.3
P0452,32,5,Senior,1,8.1
P0453,48,24,Senior,0,7.9
P0454,49,17,Intermediate,0,12.3
P0455,42,19,Junior,1,20.6
P0456,39,2,Intermediate,2,4.0
P0457,31,7,Junior,1,9.5
P0458,36,12,Intermediate,2,5.3
P0459,26,3,Junior,1,1.5
P0460,38,17,Senior,2,22.6
P0461,35,4,Intermediate,2,5.9
P0462,26,3,Junior,1,6.8
P0463,43,16,Intermediate,1,10.3
P0464,50,21,Junior,1,14.3
P0465,44,15,Senior,0,14.8
P0466,35,5,Junior,5,4.2
P0467,43,9,Intermediate,0,11.9
P0468,34,12,Intermediate,1,2.6
P0469,39,6,Junior,0,15.8
P0470,36,6,Junior,0,10.0
P0471,33,8,Junior,0,13.5
P0472,34,8,Junior,1,7.5
P0473,41,7,Junior,3,6.6
P0474,37,7,Intermediate,1,11.3
P0475,28,6,Junior,1,13.4
P0476,44,15,Intermediate,1,12.2
P0477,43,8,Junior,1,11.3
P0478,31,9,Intermediate,0,6.2
P0479,37,10,Intermediate,3,1.7
P0480,32,9,Junior,2,8.3
P0481,29,3,Senior,3,12.4
P0482,39,5,Junior,0,9.3
P0483,49,1,Senior,2,12.2
P0484,25,1,Junior,0,8.6
P0485,24,3,Senior,0,19.0
P0486,25,2,Junior,1,8.4
P0487,29,3,Intermediate,0,4.4
P0488,48,7,Intermediate,1,4.3
P0489,22,1,Junior,1,8.9
P0490,33,7,Intermediate,0,11.5
P0491,44,8,Intermediate,1,5.2
P0492,28,6,Junior,1,16.6
P0493,23,1,Junior,0,3.0
P0494,41,10,Junior,1,10.5
P0495,42,17,Junior,1,13.1
P0496,42,20,Junior,2,0.4
P0497,26,1,Junior,2,9.0
P0498,26,5,Junior,1,10.8
P0499,45,12,Junior,0,10.7
P0500,35,3,Junior,3,10.2
P0501,42,4,Senior,3,10.7
P0502,24,2,Senior,0,8.2
P0503,44,20,Intermediate,1,5.0
P0504,32,7,Junior,2,7.5
P0505,31,5,Intermediate,1,14.5
P0506,35,4,Junior,2,12.1
P0507,34,2,Intermediate,2,9.6
P0508,26,3,Intermediate,0,7.8
P0509,46,21,Senior,3,9.3
P0510,23,2,Senior,2,4.7
P0511,37,16,Senior,1,7.0
P0512,24,3,Intermediate,2,11.2
P0513,32,11,Intermediate,1,6.7
P0514,37,11,Junior,2,15.3
P0515,30,8,Intermediate,0,9.0
P0516,37,11,Senior,3,3.8
P0517,24,1,Junior,2,8.0
P0518,43,8,Intermediate,0,11.9
P0519,47,25,Junior,1,24.0
P0520,27,1,Intermediate,0,4.1
P0521,50,3,Junior,1,15.0
P0522,38,4,Intermediate,3,2.3
P0523,47,11,Intermediate,0,5.7
P0524,24,1,Intermediate,1,12.8
P0525,32,10,Intermediate,0,13.5
P0526,46,8,Junior,3,9.4
P0527,33,8,Junior,0,8.5
P0528,45,4,Junior,2,11.8
P0529,47,8,Junior,2,10.3
P0530,37,7,Junior,0,15.2
P0531,33,5,Junior,1,7.4
P0532,26,5,Intermediate,0,10.5
P0533,27,6,Junior,2,7.6
P0534,39,4,Intermediate,1,6.1
P0535,38,5,Intermediate,1,13.1
P0536,42,4,Senior,1,9.0
P0537,41,8,Intermediate,0,17.2
P0538,47,2,Intermediate,2,11.5
P0539,45,17,Intermediate,0,13.9
P0540,26,1,Intermediate,1,13.2
P0541,29,7,Intermediate,2,10.9
P0542,27,5,Senior,0,12.0
P0543,47,9,Junior,0,11.8
P0544,32,7,Intermediate,0,13.1
P0545,46,15,Intermediate,1,11.0
P0546,21,1,Senior,1,8.7
P0547,47,19,Intermediate,1,2.9
P0548,36,6,Junior,3,7.4
P0549,31,10,Intermediate,2,10.0
P0550,28,7,Junior,4,15.4
P0551,28,4,Junior,0,5.1
P0552,32,1,Senior,2,8.3
P0553,44,1,Junior,1,8.3
P0554,35,7,Senior,2,9.3
P0555,34,7,Junior,1,6.1
P0556,30,9,Senior,0,6.2
P0557,49,10,Junior,1,16.1
P0558,46,20,Junior,0,7.5
P0559,32,7,Junior,0,3.0
P0560,48,24,Intermediate,2,9.5
P0561,49,15,Senior,0,10.8
P0562,40,3,Intermediate,0,6.7
P0563,22,1,Intermediate,1,17.8
P0564,26,1,Intermediate,0,7.8
P0565,22,1,Senior,1,12.2
P0566,47,24,Intermediate,2,11.4
P0567,37,13,Intermediate,0,12.3
P0568,24,1,Intermediate,0,9.8
P0569,26,1,Intermediate,1,11.4
P0570,24,1,Intermediate,2,11.2
P0571,31,9,Intermediate,1,14.2
P0572,35,4,Junior,0,12.0
P0573,45,14,Junior,0,9.7
P0574,23,2,Intermediate,1,7.1
P0575,36,7,Intermediate,3,11.9
P0576,21,1,Junior,1,5.0
P0577,34,10,Junior,0,7.6
P0578,48,1,Senior,2,14.3
P0579,49,26,Junior,1,18.0
P0580,25,3,Junior,1,6.9
P0581,31,10,Junior,0,7.2
P0582,42,4,Junior,0,10.0
P0583,23,2,Junior,2,16.0
P0584,48,21,Intermediate,2,10.3
P0585,24,1,Junior,2,13.4
P0586,46,20,Senior,1,6.5
P0587,43,5,Junior,0,12.8
P0588,21,1,Junior,1,10.0
P0589,33,3,Junior,2,8.0
P0590,50,25,Junior,0,1.7
P0591,35,5,Junior,1,0.0
P0592,43,8,Senior,2,8.3
P0593,42,1,Junior,1,14.5
P0594,22,1,Intermediate,1,17.3
P0595,43,15,Junior,0,14.1
P0596,35,1,Junior,2,18.4
P0597,21,1,Junior,0,18.9
P0598,49,16,Senior,1,15.5
P0599,49,7,Junior,1,13.4
P0600,27,2,Intermediate,1,9.1
P0601,37,11,Junior,1,15.9
P0602,48,16,Junior,2,14.0
P0603,45,22,Intermediate,1,9.0
P0604,39,2,Junior,1,15.7
P0605,34,9,Intermediate,1,13.4
P0606,24,3,Junior,1,1.0
P0607,22,1,Intermediate,1,7.0
P0608,34,8,Junior,1,9.6
P0609,40,11,Intermediate,1,12.6
P0610,37,9,Junior,2,5.4
P0611,45,4,Intermediate,2,10.3
P0612,37,3,Intermediate,2,15.6
P0613,29,7,Senior,3,13.1
P0614,25,1,Intermediate,0,11.2
P0615,30,6,Junior,1,14.1
P0616,50,12,Intermediate,2,11.1
P0617,38,12,Junior,2,16.5
P0618,23,2,Intermediate,0,19.7
P0619,50,13,Intermediate,1,14.2
P0620,30,7,Intermediate,3,12.0
P0621,46,5,Intermediate,0,9.2
P0622,42,6,Junior,4,4.1
P0623,45,24,Junior,2,7.3
P0624,28,3,Intermediate,6,11.1
P0625,23,1,Intermediate,1,10.7
P0626,31,5,Intermediate,1,9.7
P0627,36,5,Junior,0,12.5
P0628,24,3,Intermediate,1,15.3
P0629,36,5,Senior,1,17.1
P0630,31,9,Junior,3,8.0
P0631,25,3,Junior,4,7.6
P0632,31,2,Junior,1,10.5
P0633,31,5,Intermediate,0,10.7
P0634,42,10,Intermediate,2,10.2
P0635,28,4,Junior,1,9.3
P0636,28,6,Intermediate,4,4.9
P0637,37,6,Intermediate,0,8.3
P0638,31,6,Intermediate,0,11.0
P0639,46,17,Intermediate,3,12.5
P0640,44,9,Senior,0,6.8
P0641,30,1,Intermediate,3,7.9
P0642,43,12,Intermediate,2,9.2
P0643,31,2,Junior,0,9.3
P0644,26,2,Junior,1,3.8
P0645,25,2,Junior,0,12.2
P0646,49,24,Junior,0,5.1
P0647,37,4,Intermediate,0,12.4
P0648,38,6,Senior,0,7.8
P0649,43,22,Intermediate,0,15.4
P0650,25,4,Intermediate,1,11.1
P0651,23,2,Junior,1,2.5
P0652,45,23,Junior,1,8.4
P0653,33,9,Intermediate,3,14.9
P0654,37,16,Senior,1,10.5
P0655,38,13,Intermediate,1,8.3
P0656,23,2,Junior,0,14.1
P0657,24,3,Intermediate,0,11.0
P0658,45,14,Intermediate,0,5.0
P0659,27,1,Intermediate,0,10.9
P0660,23,1,Junior,2,9.1
P0661,43,8,Junior,1,15.0
P0662,49,5,Junior,1,6.5
P0663,50,21,Senior,0,11.2
P0664,40,13,Junior,0,11.5
P0665,21,1,Junior,0,13.3
P0666,33,7,Junior,0,9.9
P0667,46,15,Senior,1,7.6
P0668,22,1,Intermediate,1,11.8
P0669,33,2,Junior,1,10.6
P0670,40,15,Senior,1,1.5
P0671,43,20,Junior,5,8.3
P0672,33,9,Intermediate,0,1.8
P0673,50,12,Junior,1,7.9
P0674,37,1,Junior,2,11.4
P0675,26,2,Junior,1,9.0
P0676,39,11,Junior,0,8.1
P0677,22,1,Intermediate,1,16.3
P0678,26,4,Intermediate,3,13.9
P0679,31,4,Senior,0,14.0
P0680,43,14,Intermediate,0,14.2
P0681,34,8,Junior,1,10.1
P0682,32,8,Senior,1,10.9
P0683,47,9,Junior,1,7.4
P0684,22,1,Junior,0,2.0
P0685,42,10,Senior,1,7.8
P0686,23,2,Senior,1,6.5
P0687,29,5,Junior,2,6.8
P0688,36,7,Junior,1,14.0
P0689,23,2,Intermediate,2,5.9
P0690,49,15,Senior,0,9.8
P0691,35,14,Intermediate,1,8.4
P0692,32,7,Intermediate,3,9.5
P0693,23,2,Junior,0,9.5
P0694,33,5,Intermediate,0,10.4
P0695,33,6,Junior,0,16.1
P0696,48,19,Intermediate,1,12.4
P0697,46,13,Intermediate,0,9.7
P0698,35,2,Junior,0,11.8
P0699,32,1,Intermediate,0,4.3
P0700,30,6,Senior,1,12.6
P0701,23,1,Intermediate,0,10.3
P0702,33,1,Intermediate,0,7.5
P0703,33,6,Intermediate,0,10.9
P0704,49,27,Intermediate,0,5.7
P0705,44,3,Junior,1,17.3
P0706,35,5,Junior,0,4.3
P0707,47,18,Senior,2,6.1
P0708,39,11,Junior,2,9.2
P0709,23,2,Senior,0,7.5
P0710,27,3,Senior,1,2.6
P0711,26,2,Intermediate,0,7.2
P0712,28,3,Junior,1,6.2
P0713,46,13,Intermediate,0,6.5
P0714,22,1,Senior,3,5.5
P0715,23,2,Intermediate,1,16.5
P0716,31,7,Intermediate,2,8.0
P0717,24,1,Senior,0,9.8
P0718,29,5,Senior,0,14.9
P0719,44,3,Intermediate,2,7.1
P0720,42,6,Junior,0,7.3
P0721,42,16,Intermediate,1,0.6
P0722,47,9,Junior,0,4.5
P0723,49,15,Junior,2,10.7
P0724,35,9,Intermediate,2,5.8
P0725,29,1,Intermediate,1,8.5
P0726,22,1,Senior,1,8.0
P0727,31,1,Junior,4,13.3
P0728,48,13,Intermediate,0,5.8
P0729,46,15,Junior,1,7.5
P0730,32,11,Intermediate,0,10.3
P0731,44,4,Intermediate,1,2.1
P0732,32,5,Junior,0,7.6
P0733,30,7,Junior,1,5.8
P0734,34,4,Junior,2,3.5
P0735,40,6,Junior,1,11.5
P0736,50,13,Junior,1,8.4
P0737,42,4,Senior,1,8.1
P0738,26,4,Intermediate,3,4.3
P0739,40,11,Junior,1,13.6
P0740,49,19,Senior,1,17.3
P0741,30,2,Intermediate,1,9.5
