personnel_id,leave_days,days_since_last_leave,leave_frequency
P0442,14,77,1
P0443,9,6,4
P0444,10,49,1
P0445,4,75,3
P0446,14,16,2
P0447,6,73,4
P0448,11,29,1
P0449,2,77,1
P0450,12,50,4
P0451,11,23,0
P0452,9,14,2
P0453,8,59,4
P0454,15,75,2
P0455,12,78,2
P0456,5,31,2
P0457,6,52,1
P0458,5,62,3
P0459,7,58,1
P0460,13,62,4
P0461,15,36,1
P0462,5,69,4
P0463,5,10,3
P0464,8,88,2
P0465,6,71,1
P0466,14,54,4
P0467,0,15,2
P0468,5,78,3
P0469,5,11,0
P0470,0,5,0
P0471,14,68,1
P0472,0,15,2
P0473,12,14,1
P0474,15,20,2
P0475,9,78,4
P0476,7,13,4
P0477,6,69,2
P0478,11,84,0
P0479,12,45,1
P0480,13,44,0
P0481,2,41,3
P0482,15,76,0
P0483,4,39,3
P0484,14,21,2
P0485,1,25,4
P0486,0,31,3
P0487,15,48,3
P0488,11,29,0
P0489,14,27,2
P0490,1,69,3
P0491,1,17,3
P0492,15,84,2
P0493,1,36,4
P0494,6,29,2
P0495,11,70,2
P0496,14,37,2
P0497,3,68,1
P0498,11,57,3
P0499,13,15,0
P0500,13,63,2
P0501,1,25,1
P0502,7,56,2
P0503,3,8,1
P0504,11,80,1
P0505,9,45,2
P0506,0,18,1
P0507,4,80,1
P0508,3,29,3
P0509,4,44,2
P0510,5,74,0
P0511,10,82,4
P0512,4,57,0
P0513,14,49,0
P0514,11,7,3
P0515,6,44,3
P0516,9,74,3
P0517,11,66,3
P0518,9,52,0
P0519,7,71,4
P0520,3,67,0
P0521,10,27,0
P0522,1,35,0
P0523,14,40,4
P0524,15,57,3
P0525,0,51,3
P0526,0,23,0
P0527,9,11,1
P0528,14,81,2
P0529,15,22,3
P0530,1,72,2
P0531,15,18,4
P0532,7,18,1
P0533,12,74,2
P0534,8,79,2
P0535,0,71,0
P0536,15,48,2
P0537,13,54,3
P0538,2,76,1
P0539,15,58,1
P0540,15,33,4
P0541,14,63,2
P0542,2,28,2
P0543,15,78,0
P0544,7,75,2
P0545,4,5,1
P0546,12,38,4
P0547,5,65,3
P0548,7,12,4
P0549,3,50,4
P0550,14,89,1
P0551,14,67,3
P0552,5,61,0
P0553,7,30,0
P0554,8,31,2
P0555,7,28,0
P0556,1,14,3
P0557,9,86,4
P0558,12,21,1
P0559,2,86,1
P0560,15,47,0
P0561,1,87,1
P0562,15,50,0
P0563,7,19,0
P0564,4,79,4
P0565,15,10,2
P0566,15,80,2
P0567,14,43,1
P0568,2,41,0
P0569,8,69,0
P0570,14,18,0
P0571,11,41,2
P0572,5,60,3
P0573,14,11,2
P0574,9,82,2
P0575,13,40,3
P0576,4,46,4
P0577,4,86,0
P0578,3,15,1
P0579,12,60,2
P0580,5,46,1
P0581,8,24,3
P0582,10,16,1
P0583,15,42,1
P0584,0,62,1
P0585,1,89,2
P0586,13,68,2
P0587,15,44,1
P0588,13,72,4
P0589,4,40,1
P0590,10,11,4
P0591,11,60,3
P0592,8,60,0
P0593,0,83,1
P0594,1,48,2
P0595,6,55,0
P0596,6,32,1
P0597,10,41,3
P0598,7,38,4
P0599,12,52,4
P0600,13,41,2
P0601,13,81,0
P0602,8,54,4
P0603,10,52,1
P0604,14,11,0
P0605,3,87,4
P0606,12,81,3
P0607,5,32,4
P0608,1,82,4
P0609,4,72,1
P0610,10,87,1
P0611,1,7,4
P0612,6,52,0
P0613,9,10,2
P0614,0,23,3
P0615,3,65,1
P0616,14,27,2
P0617,0,74,1
P0618,12,23,2
P0619,11,9,2
P0620,11,43,3
P0621,0,26,4
P0622,12,55,0
P0623,9,55,3
P0624,9,34,2
P0625,13,45,4
P0626,8,63,4
P0627,1,43,3
P0628,5,50,4
P0629,0,26,2
P0630,14,31,4
P0631,4,39,1
P0632,14,54,1
P0633,14,32,4
P0634,8,65,2
P0635,7,62,0
P0636,12,37,2
P0637,13,82,3
P0638,6,38,1
P0639,15,46,0
P0640,6,18,0
P0641,11,43,2
P0642,3,82,0
P0643,3,74,1
P0644,1,69,0
P0645,3,41,1
P0646,9,49,3
P0647,10,63,1
P0648,10,59,3
P0649,10,69,3
P0650,12,62,3
P0651,10,48,4
P0652,13,80,4
P0653,12,56,1
P0654,14,31,3
P0655,5,60,0
P0656,9,44,4
P0657,15,16,0
P0658,9,40,1
P0659,0,28,2
P0660,6,68,4
P0661,12,35,2
P0662,2,14,3
P0663,10,52,1
P0664,13,5,2
P0665,0,29,3
P0666,7,88,0
P0667,11,49,2
P0668,7,48,1
P0669,6,82,3
P0670,3,35,2
P0671,6,5,4
P0672,13,27,3
P0673,6,20,0
P0674,6,35,4
P0675,12,11,0
P0676,2,68,1
P0677,5,65,1
P0678,0,30,3
P0679,3,45,1
P0680,13,58,4
P0681,15,81,1
P0682,5,76,4
P0683,3,5,4
P0684,5,44,2
P0685,13,56,2
P0686,12,25,3
P0687,10,61,0
P0688,6,24,4
P0689,13,72,2
P0690,8,9,2
P0691,8,36,0
P0692,1,45,4
P0693,6,70,2
P0694,10,8,4
P0695,5,71,1
P0696,11,82,4
P0697,3,48,2
P0698,2,48,4
P0699,2,87,3
P0700,12,11,3
P0701,0,75,4
P0702,8,77,1
P0703,10,42,3
P0704,12,19,1
P0705,8,52,2
P0706,1,44,0
P0707,15,39,0
P0708,15,49,0
P0709,13,41,4
P0710,2,49,0
P0711,14,40,0
P0712,1,14,0
P0713,9,72,1
P0714,10,19,3
P0715,6,7,2
P0716,15,24,2
P0717,7,46,0
P0718,11,60,0
P0719,3,80,2
P0720,7,5,1
P0721,0,40,1
P0722,2,52,1
P0723,8,80,3
P0724,11,57,2
P0725,8,28,3
P0726,9,73,2
P0727,11,44,2
P0728,5,90,1
P0729,14,55,4
P0730,7,73,4
P0731,10,68,1
P0732,13,79,3
P0733,4,37,0
P0734,10,80,1
P0735,3,58,2
P0736,0,24,4
P0737,14,28,1
P0738,11,82,2
P0739,9,28,3
P0740,1,89,2
P0741,3,29,2
P0742,4,18,4
P0743,8,63,3
P0744,8,16,1
P0745,11,86,3
P0746,15,54,2
P0747,15,57,2
P0748,0,31,2
P0749,12,55,0
P0750,2,47,2
P0751,14,20,2
P0752,4,75,4
P0753,8,58,0
P0754,8,34,2
P0755,7,50,3
P0756,14,28,3
P0757,0,63,0
P0758,4,45,2
P0759,15,57,4
P0760,3,22,4
P0761,15,46,0
P0762,0,12,4
P0763,3,43,4
P0764,11,73,2
P0765,9,67,2
P0766,10,46,4
P0767,7,33,2
P0768,5,6,0
P0769,1,42,2
P0770,1,11,0
P0771,3,45,1
P0772,2,28,3
P0773,15,14,4
P0774,10,59,4
P0775,10,9,4
P0776,2,90,2
P0777,3,78,1
P0778,3,10,2
P0779,8,41,1
P0780,2,36,3
P0781,13,89,0
P0782,12,61,4
P0783,3,89,2
P0784,4,34,3
P0785,1,81,2
P0786,9,51,3
P0787,1,44,1
P0788,11,68,2
P0789,6,31,3
P0790,15,11,2
P0791,14,81,3
P0792,10,35,2
P0793,0,70,2
P0794,1,36,4
P0795,5,23,4
P0796,13,43,4
P0797,15,20,1
P0798,6,88,1
P0799,13,82,1
P0800,5,80,0
P0801,14,72,2
P0802,8,80,4
P0803,11,20,0
P0804,12,82,3
P0805,14,64,0
P0806,4,36,2
P0807,8,45,1
P0808,12,33,1
P0809,3,88,0
P0810,3,7,2
P0811,10,38,2
P0812,15,46,0
P0813,8,50,2
P0814,7,60,1
P0815,10,90,3
P0816,9,54,1
P0817,9,11,2
P0818,15,53,4
P0819,4,30,1
P0820,0,6,3
P0821,12,64,0
P0822,8,19,4
P0823,5,47,4
P0824,11,75,3
P0825,3,80,1
P0826,2,70,1
P0827,3,66,4
P0828,0,57,4
P0829,13,64,1
P0830,12,26,4
P0831,4,12,4
P0832,10,30,2
P0833,2,34,3
P0834,9,60,0
P0835,6,22,0
P0836,5,74,4
P0837,5,85,0
P0838,5,85,4
P0839,15,71,0
P0840,15,6,3
P0841,2,45,2
P0842,13,82,0
P0843,7,53,2
P0844,0,43,0
P0845,3,14,4
P0846,3,89,4
P0847,1,83,3
P0848,8,30,0
P0849,8,34,0
P0850,0,60,3
P0851,12,49,3
P0852,12,18,1
P0853,0,21,0
P0854,2,79,4
P0855,12,22,2
P0856,10,77,1
P0857,8,59,1
P0858,2,82,0
P0859,15,13,3
P0860,12,6,0
P0861,1,26,0
P0862,4,53,4
P0863,9,59,3
P0864,9,74,2
P0865,9,78,0
P0866,4,43,4
P0867,7,5,0
P0868,1,52,4
P0869,14,62,2
P0870,15,11,0
P0871,7,35,4
P0872,14,72,2
P0873,10,38,1
P0874,14,82,4
P0875,6,85,1
P0876,1,82,4
P0877,5,14,0
P0878,15,65,2
P0879,3,85,2
P0880,7,65,3
P0881,13,42,0
P0882,1,78,0
P0883,9,57,0
P0884,0,34,0
P0885,11,37,1
P0886,9,78,1
P0887,15,43,4
P0888,7,51,1
P0889,15,56,0
P0890,10,47,4
P0891,2,86,2
P0892,14,32,1
P0893,2,20,3
P0894,0,86,3
P0895,4,89,3
P0896,2,24,2
P0897,2,49,0
P0898,8,28,3
P0899,1,32,0
P0900,5,28,3
P0901,7,74,4
P0902,8,85,0
P0903,4,21,1
P0904,8,24,1
P0905,2,13,2
P0906,7,87,4
P0907,7,72,3
P0908,10,25,1
P0909,14,34,1
P0910,8,25,4
P0911,13,34,3
P0912,13,64,1
P0913,13,49,4
P0914,10,39,1
P0915,7,55,0
P0916,14,32,3
P0917,9,24,4
P0918,3,47,4
P0919,2,67,2
P0920,1,83,1
P0921,7,81,3
P0922,13,37,3
P0923,12,29,2
P0924,2,69,2
P0925,3,66,3
P0926,10,36,1
P0927,11,55,3
P0928,10,81,0
P0929,2,72,2
P0930,10,58,3
P0931,11,86,2
P0932,7,89,0
P0933,5,52,2
P0934,3,30,2
P0935,12,60,3
P0936,4,84,4
P0937,13,82,2
P0938,8,76,2
P0939,2,26,3
P0940,14,80,1
P0941,6,13,1
P0942,15,43,2
P0943,11,12,2
P0944,10,73,4
P0945,2,37,4
P0946,9,20,2
P0947,2,68,3
P0948,12,19,1
P0949,3,87,0
P0950,12,88,0
P0951,14,75,2
P0952,1,88,3
P0953,2,76,1
P0954,9,54,0
P0955,8,19,3
P0956,0,31,0
P0957,9,66,2
P0958,5,82,3
P0959,9,64,2
P0960,15,60,4
P0961,11,83,0
P0962,5,42,2
P0963,4,77,0
P0964,5,84,4
P0965,9,89,4
P0966,14,19,4
P0967,3,75,2
P0968,7,42,3
P0969,1,26,3
P0970,3,11,0
P0971,2,62,1
P0972,1,59,4
P0973,12,32,2
P0974,15,50,0
P0975,2,7,0
P0976,12,44,2
P0977,3,25,3
P0978,11,51,2
P0979,11,6,4
P0980,10,61,0
P0981,2,68,0
P0982,2,18,3
P0983,2,29,3
P0984,8,6,1
P0985,8,25,4
P0986,12,56,2
P0987,13,85,2
P0988,14,66,1
P0989,3,48,4
P0990,12,22,0
P0991,12,43,3
P0992,9,82,4
P0993,10,28,4
P0994,9,54,2
P0995,3,43,4
P0996,6,58,3
P0997,14,6,3
P0998,5,74,0
P0999,5,54,1
P1000,4,5,4
P1001,8,23,4
P1002,1,38,2
P1003,0,86,3
P1004,13,22,4
P1005,15,33,3
P1006,14,83,2
P1007,4,39,2
P1008,3,57,1
P1009,5,90,2
P1010,2,57,3
P1011,8,66,0
P1012,6,87,3
P1013,6,53,4
P1014,14,18,2
P1015,2,18,4
P1016,3,69,4
P1017,9,72,0
P1018,2,24,1
P1019,2,71,4
P1020,4,34,3
P1021,9,33,0
P1022,10,31,0
P1023,10,25,0
P1024,11,36,3
P1025,1,26,1
P1026,8,87,1
P1027,4,32,3
P1028,4,5,4
P1029,14,85,3
P1030,12,89,4
P1031,7,80,3
P1032,9,38,2
P1033,14,8,4
P1034,13,69,0
P1035,11,54,2
P1036,14,54,4
P1037,7,78,3
P1038,13,90,1
P1039,0,75,3
P1040,14,54,0
P1041,1,74,2
P1042,10,34,2
P1043,5,89,4
P1044,4,60,3
P1045,5,35,4
P1046,10,74,2
P1047,7,58,1
P1048,6,33,3
P1049,12,55,3
P1050,11,65,3
P1051,13,89,3
P1052,9,64,0
P1053,11,68,1
P1054,9,44,2
P1055,13,75,0
P1056,4,17,1
P1057,1,54,3
P1058,3,40,0
P1059,2,56,0
P1060,15,75,4
P1061,15,77,3
P1062,8,26,2
P1063,7,70,4
P1064,2,60,4
P1065,5,69,1
P1066,15,53,3
P1067,15,13,1
P1068,2,90,0
P1069,9,58,4
P1070,15,58,0
P1071,11,70,0
P1072,15,35,4
P1073,12,63,4
P1074,13,86,0
P1075,5,57,1
P1076,10,40,4
P1077,4,79,1
P1078,10,38,0
P1079,12,64,2
P1080,5,24,3
P1081,4,57,3
P1082,0,42,3
P1083,1,10,1
P1084,1,31,0
P1085,2,23,1
P1086,8,28,0
P1087,11,74,0
P1088,14,58,2
P1089,13,29,4
P1090,13,9,1
P1091,14,84,3
P1092,5,42,3
P1093,0,35,0
P1094,5,74,3
P1095,7,77,1
P1096,7,67,1
P1097,3,85,0
P1098,13,58,4
P1099,7,88,0
P1100,5,37,1
P1101,11,79,3
P1102,3,74,2
P1103,14,90,2
P1104,1,65,3
P1105,3,48,1
P1106,11,87,0
P1107,9,29,3
P1108,14,78,1
P1109,12,84,4
P1110,7,69,0
P1111,10,58,2
P1112,9,24,0
P1113,10,56,4
P1114,5,73,3
P1115,1,25,1
P1116,15,73,2
P1117,14,80,0
P1118,3,25,4
P1119,13,23,2
P1120,11,85,3
P1121,8,38,4
P1122,9,61,0
P1123,7,54,2
P1124,2,26,1
P1125,2,53,3
P1126,10,26,0
P1127,13,64,0
P1128,7,11,4
P1129,14,8,4
P1130,6,7,0
P1131,1,37,4
P1132,13,8,1
P1133,8,65,2
P1134,0,85,4
P1135,0,10,2
P1136,9,25,2
P1137,2,32,1
P1138,10,36,3
P1139,0,50,2
P1140,7,13,1
P1141,13,20,2
P1142,3,72,2
P1143,2,87,3
P1144,5,7,4
P1145,3,63,3
P1146,1,41,4
P1147,6,48,2
P1148,14,10,0
P1149,4,25,0
P1150,11,89,2
P1151,11,79,1
P1152,8,41,0
P1153,0,83,4
P1154,1,47,2
P1155,5,19,4
P1156,3,8,1
P1157,6,84,2
P1158,11,11,0
P1159,9,66,0
P1160,11,32,1
P1161,7,22,0
P1162,8,54,0
P1163,14,49,1
P1164,13,69,3
P1165,2,19,4
P1166,4,55,3
P1167,13,39,4
P1168,3,36,3
P1169,11,58,0
P1170,2,84,0
P1171,13,49,3
P1172,4,88,2
P1173,6,70,2
P1174,3,6,1
P1175,7,57,2
P1176,3,67,4
P1177,3,44,4
P1178,0,37,3
P1179,2,80,2
P1180,5,77,2
P1181,15,65,3
P1182,12,46,0
P1183,9,22,4
P1184,12,76,0
P1185,8,90,0
P1186,15,88,3
P1187,6,85,4
P1188,9,13,0
P1189,9,71,0
P1190,0,24,1
P1191,13,20,0
P1192,13,5,2
P1193,1,5,2
P1194,8,73,2
P1195,5,59,0
P1196,2,67,3
P1197,15,85,2
P1198,15,49,2
P1199,9,17,0
P1200,13,82,4
P1201,12,48,0
P1202,15,60,3
P1203,5,69,0
P1204,7,71,2
P1205,4,82,0
P1206,6,6,4
P1207,8,47,2
P1208,15,78,0
P1209,11,41,0
P1210,11,39,2
P1211,11,61,2
P1212,12,47,0
P1213,15,64,1
P1214,14,71,1
P1215,15,48,0
P1216,2,49,0
P1217,6,64,3
P1218,4,29,3
P1219,3,88,1
P1220,14,23,1
P1221,3,83,0
P1222,1,36,4
P1223,2,84,0
P1224,1,55,1
P1225,12,56,4
P1226,3,47,1
P1227,1,65,0
P1228,2,72,2
P1229,14,58,4
P1230,13,6,3
P1231,11,42,3
P1232,3,31,2
P1233,13,19,4
P1234,5,58,1
P1235,13,82,1
P1236,10,33,0
P1237,5,28,3
P1238,5,46,3
P1239,9,26,0
P1240,6,50,1
P1241,5,46,2
P1242,3,89,4
P1243,9,17,3
P1244,7,39,2
P1245,8,17,3
P1246,4,45,4
P1247,6,79,0
P1248,13,83,4
P1249,2,24,2
P1250,9,27,4
P1251,4,24,2
P1252,11,22,3
P1253,12,76,3
P1254,7,73,0
P1255,1,11,1
P1256,4,90,0
P1257,10,80,2
P1258,14,21,1
P1259,2,37,1
P1260,5,71,1
P1261,12,67,0
P1262,8,80,0
P1263,15,25,4
P1264,15,82,1
P1265,0,75,3
P1266,8,76,3
P1267,9,43,4
P1268,7,45,0
P1269,4,89,2
P1270,2,41,2
P1271,0,73,0
P1272,4,11,1
P1273,8,60,4
P1274,11,81,1
P1275,4,78,2
P1276,0,30,3
P1277,0,25,4
P1278,1,83,3
P1279,1,75,3
P1280,13,54,2
P1281,15,71,2
P1282,1,37,4
P1283,8,41,3
P1284,2,23,4
P1285,15,87,0
P1286,1,31,2
P1287,5,56,1
P1288,4,12,1
P1289,9,57,1
P1290,11,68,0
P1291,15,6,0
P1292,3,80,1
P1293,10,30,0
P1294,11,21,0
P1295,14,44,4
P1296,11,32,0
P1297,7,56,1
P1298,4,78,2
P1299,2,21,2
P1300,7,14,2
P1301,15,85,3
P1302,12,68,0
P1303,0,21,1
P1304,11,53,3
P1305,5,11,0
P1306,9,69,2
P1307,9,35,0
P1308,8,69,2
P1309,7,7,0
P1310,6,64,0
P1311,13,13,4
P1312,12,6,3
P1313,15,12,3
P1314,9,41,1
P1315,4,13,1
P1316,10,26,4
P1317,8,75,2
P1318,10,19,3
P1319,12,25,0
P1320,7,51,4
P1321,13,76,2
P1322,11,51,1
P1323,12,27,1
P1324,5,70,1
P1325,5,42,0
P1326,9,32,0
P1327,2,86,2
P1328,2,6,2
P1329,14,83,3
P1330,3,54,1
P1331,12,42,3
P1332,11,30,2
P1333,8,85,1
P1334,1,48,3
P1335,2,16,0
P1336,14,48,0
P1337,5,5,0
P1338,15,19,2
P1339,4,7,4
P1340,7,49,2
P1341,9,43,3
P1342,4,83,1
P1343,3,43,2
P1344,12,24,1
P1345,14,16,2
P1346,11,57,1
P1347,13,12,1
P1348,7,65,0
P1349,8,82,3
P1350,5,49,0
P1351,15,5,0
P1352,7,64,1
P1353,13,52,1
P1354,8,56,1
P1355,4,40,4
P1356,7,39,0
P1357,13,76,1
P1358,9,84,1
P1359,14,56,3
P1360,7,65,2
P1361,1,14,3
P1362,3,16,0
P1363,10,23,0
P1364,9,58,4
P1365,12,22,4
P1366,11,88,4
P1367,12,19,3
P1368,10,68,4
P1369,6,58,2
P1370,15,63,4
P1371,6,47,3
P1372,6,81,2
P1373,7,40,3
P1374,11,50,0
P1375,7,84,4
P1376,8,23,4
P1377,13,48,3
P1378,13,24,3
P1379,10,11,1
P1380,13,6,4
P1381,13,42,0
P1382,14,17,3
P1383,0,68,3
P1384,6,35,0
P1385,13,89,4
P1386,6,58,4
P1387,4,61,2
P1388,8,81,2
P1389,1,46,0
P1390,12,90,1
P1391,9,16,3
P1392,13,51,2
P1393,2,14,0
P1394,8,75,2
